geneid,gene,domain,Target entity
1387,CREBBP,Histone Acetyltransferase,
57325,CRP2BP,Histone Acetyltransferase,
57325,CSR2B,Histone Methyltransferase Family,
57325,CSRP2BP,Histone Acetyltransferase,
8202,CTG26,Acetyltransferase Family,
9757,CXXC10,Histone Methyltransferase Family,H3K4
4297,CXXC7,Histone Methyltransferase,
54904,DC28,Histone Methyltransferase Family,
10327,DD3,Histone Methyltransferase,
57325,dJ717M23.1,Histone Acetyltransferase,
84444,DOT1,Histone Methyltransferase Family,
84444,DOT1-like,Histone Methyltransferase,
84444,DOT1L,Histone Methyltransferase Family,H3K79
9757,DYT28,Histone Methyltransferase Family,
6872,DYT3,Acetyltransferase Family,
6872,DYT3/TAF1,Acetyltransferase Family,
79813,EHMT1,Histone Methyltransferase,H3K9
79813,EHMT1-IT1,Histone Methyltransferase Family,
10919,EHMT2,Histone Methyltransferase,H3K9
55140,ELP3,Acetyltransferase Family,"H3, H4?"
10919,Em:AF134726.3,Histone Methyltransferase Family,
2146,ENX-1,Histone Methyltransferase,H3K27
2146,ENX1,Histone Methyltransferase,
2146,ENX1b,Histone Methyltransferase Family,
2033,EP300,Acetyltransferase Family,"H2A, H2B, H3, H4"
56978,EPM10,Histone Methyltransferase,
2671,ERV1,Histone Methyltransferase,
10524,ESA1,Histone Acetyltransferase,
9869,ESET,Histone Methyltransferase Family,
79813,Eu-HMTase1,Histone Methyltransferase Family,
79813,EUHMTASE1,Histone Methyltransferase Family,
2122,EVI1,Histone Methyltransferase,H4R3
2138,EYA1,Histone Methyltransferase,H2AXT142
2145,EZH1,Histone Methyltransferase Family,H3K27
2146,EZH2b,Histone Methyltransferase Family,
8648,F-SRC-1,Acetyltransferase Family,"H3, H4"
80204,FBX11,Arinine Methyltransferase Family,
80204,FBXO11,Arinine Methyltransferase Family,
79813,FLJ12879,Histone Methyltransferase,
84148,FLJ14040,Acetyltransferase Family,
64324,FLJ22263,Histone Methyltransferase,"H3K36, H4K20"
79813,FP13812,Histone Methyltransferase,
10919,G9a,Histone Methyltransferase,
10919,GAT8,Histone Methyltransferase Family,
100125288,GATAD3,Histone Methyltransferase,
2641,GCG,Histone Methyltransferase,
2648,GCN5,Acetyltransferase Family,
2648,GCN5L2,Acetyltransferase Family,
2671,GFER,Histone Methyltransferase,
55213,GLP,Histone Methyltransferase,
2641,GLP-1,Histone Methyltransferase,
2641,GLP1,Histone Methyltransferase,
2641,GLP2,Histone Methyltransferase,
342096,GOLGA6,Histone Methyltransferase,
342096,GOLGA6A,Histone Methyltransferase,
2806,GOT2,Acetyltransferase Family,
2641,GRPP,Histone Methyltransferase,
9329,GTF3C4,Histone Acetyltransferase,H3
883,GTK,Acetyltransferase Family,
23522,GTPTS,Acetyltransferase Family,
58508,HALR,Histone Methyltransferase,H3K4
8520,HAT1,Histone Acetyltransferase,"H4, H2A"
11143,HBO1,Histone Acetyltransferase,H4
11143,HBOa,Histone Methyltransferase Family,
29072,HBP231,Histone Methyltransferase Family,
3276,HCP1,Histone Methyltransferase,H4R3
55904,HDCMC04P,Histone Methyltransferase Family,H3K4
10327,HEL-S-6,Histone Methyltransferase,
2671,HERV1,Histone Methyltransferase,
2648,HGCN5,Histone Methyltransferase Family,
3730,HH1,Histone Methyltransferase,
3730,HHA,Histone Methyltransferase,
29072,HIF-1,Histone Methyltransferase Family,H3K36me2
29072,HIP-1,Histone Methyltransferase,
8195,HMCS,Histone Methyltransferase,
84148,hMOF,Acetyltransferase Family,
79829,hNatD,Histone Acetyltransferase,
2671,HPO,Histone Methyltransferase,
2671,HPO1,Histone Methyltransferase,
2671,HPO2,Histone Methyltransferase,
3275,HRMT1L1,Arinine Methyltransferase Family,H4
3276,HRMT1L2,Histone Methyltransferase,
10196,HRMT1L3,Arinine Methyltransferase Family,H4R
56341,HRMT1L4,Arinine Methyltransferase Family,H4R
10419,HRMT1L5,Arinine Methyltransferase Family,"H3R8, H4R3"
55170,HRMT1L6,Arinine Methyltransferase Family,"H2AR3, H3R2, H4R4"
4297,HRX,Histone Methyltransferase Family,
9757,HRX2,Histone Methyltransferase Family,H3K4
59335,HSAN8,Histone Methyltransferase,
56950,HSKM-B,Histone Methyltransferase,"H3K4, H3K36"
6419,HsMar1,Histone Methyltransferase,
29072,HSPC069,Histone Methyltransferase,
2671,HSS,Histone Methyltransferase,
10524,HTATIP,Histone Acetyltransferase,"H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16"
10524,HTATIP1,Acetyltransferase Family,"H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16"
4297,HTRX1,Histone Methyltransferase Family,
7799,HUMHOXY1,Histone Methyltransferase Family,H3K9
29072,HYPB,Histone Methyltransferase,H3K36me2
10419,IBP72,Arinine Methyltransferase Family,
3276,IR1B4,Arinine Methyltransferase Family,
10419,JBP1,Histone Methyltransferase,
8085,KABUK1,Histone Methyltransferase,
3730,KAL,Histone Methyltransferase,
3730,KAL1,Histone Methyltransferase,
3730,KALIG-1,Histone Methyltransferase,
883,KAT1,Histone Acetyltransferase,"H4, H2A"
9329,KAT12,Acetyltransferase Family,H3
8648,KAT13A,Acetyltransferase Family,"H3, H4"
8202,KAT13B,Acetyltransferase Family,
9575,KAT13D,Acetyltransferase Family,"H3, H4"
57325,KAT14,Histone Acetyltransferase,
2648,KAT2A,Acetyltransferase Family,
8850,KAT2B,Acetyltransferase Family,
1387,KAT3A,Histone Acetyltransferase,
2033,KAT3B,Acetyltransferase Family,
2806,KAT4,Acetyltransferase Family,
10524,KAT5,Histone Acetyltransferase,"H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16"
7994,KAT6A,Acetyltransferase Family,"H3, H4"
23522,KAT6B,Histone Acetyltransferase,H3
11143,KAT7,Histone Acetyltransferase,H4
84148,KAT8,Histone Acetyltransferase,"H2A, H3, H4"
55140,KAT9,Acetyltransferase Family,"H3, H4?"
883,KATI,Acetyltransferase Family,
2806,KATIV,Acetyltransferase Family,
55904,KDMT2E,Histone Methyltransferase,
9869,KG1T,Histone Methyltransferase Family,H3K9
9869,KIAA0067,Histone Methyltransferase,H3K9
9757,KIAA0304,Histone Methyltransferase Family,H3K4
23522,KIAA0383,Histone Methyltransferase,
7468,KIAA1090,Histone Methyltransferase Family,
55870,KIAA1420,Histone Methyltransferase Family,
58508,KIAA1506,Histone Methyltransferase Family,H3K4
84444,KIAA1814,Histone Methyltransferase,
79813,KIAA1876,Histone Methyltransferase Family,
79813,KLEFS1,Histone Methyltransferase Family,
58508,KLEFS2,Histone Methyltransferase Family,
3730,KMS,Histone Methyltransferase,
6839,KMT1A,Histone Methyltransferase,
79723,KMT1B,Histone Methyltransferase,
10919,KMT1C,Histone Methyltransferase,
79813,KMT1D,Histone Methyltransferase Family,
9869,KMT1E,Histone Methyltransferase,H3K9
83852,KMT1F,Histone Methyltransferase Family,
4297,KMT2A,Histone Methyltransferase,H3K4
9757,KMT2B,Histone Methyltransferase Family,H3K4
58508,KMT2C,Histone Methyltransferase,H3K4
8085,KMT2D,Histone Methyltransferase,H3K4
55904,KMT2E,Histone Methyltransferase Family,H3K4
9739,KMT2F,Histone Methyltransferase Family,H3K4
23067,KMT2G,Histone Methyltransferase Family,H3K4
55870,KMT2H,Histone Methyltransferase Family,
29072,KMT3A,Histone Methyltransferase Family,H3K36me2
64324,KMT3B,Histone Methyltransferase,"H3K36, H4K20"
56950,KMT3C,Histone Methyltransferase,"H3K4, H3K36"
150572,KMT3D,Histone Methyltransferase,
64754,KMT3E,Histone Methyltransferase,
7468,KMT3F,Histone Methyltransferase Family,
7468,KMT3G,Histone Methyltransferase Family,
84444,KMT4,Histone Methyltransferase,
387893,KMT5A,Histone Methyltransferase Family,
51111,KMT5B,Histone Methyltransferase,H4K20
84787,KMT5C,Histone Methyltransferase Family,
2146,KMT6,Histone Methyltransferase,H3K27
2146,KMT6A,Histone Methyltransferase Family,H3K27
2145,KMT6B,Histone Methyltransferase,H3K27
80854,KMT7,Histone Methyltransferase,
7799,KMT8,Histone Methyltransferase,H3K9
7799,KMT8A,Histone Methyltransferase,H3K9
56979,KMT8B,Histone Methyltransferase Family,H3K4
56978,KMT8D,Histone Methyltransferase,
2122,KMT8E,Histone Methyltransferase,H4R3
63976,KMT8F,Histone Methyltransferase,"H3K9, DNA motif"
883,KYAT1,Histone Acetyltransferase,
2806,KYAT4,Acetyltransferase Family,
57060,LIP4,Histone Acetyltransferase,
29072,LLS,Histone Methyltransferase,
63976,LVNC8,Histone Methyltransferase,
57060,MCG10,Histone Acetyltransferase,
2122,MDS1,Histone Methyltransferase,H4R3
2122,MDS1-EVI1,Histone Methyltransferase,H4R3
2122,MECOM,Histone Methyltransferase,H4R3
56979,MEISETZ,Histone Methyltransferase,
63976,MEL1,Histone Methyltransferase,"H3K9, DNA motif"
6419,METNASE,Histone Methyltransferase,
6839,MG44,Histone Methyltransferase,
3275,MGC111373,Arinine Methyltransferase Family,
2806,mitAAT,Acetyltransferase Family,
8195,MKKS,Histone Methyltransferase,
8195,MKS,Histone Methyltransferase,
4297,MLL,Histone Methyltransferase Family,
8522,MLL/GAS7,Histone Methyltransferase Family,
4297,MLL1,Histone Methyltransferase Family,
4297,MLL1A,Histone Methyltransferase,
9757,MLL1B,Histone Methyltransferase Family,H3K4
8085,MLL2,Histone Methyltransferase,H3K4
58508,MLL3,Histone Methyltransferase,H3K4
8085,MLL4,Histone Methyltransferase,H3K4
55904,MLL5,Histone Methyltransferase Family,H3K4
7468,MMSET,Histone Methyltransferase,
84148,MOF,Acetyltransferase Family,
23522,Morf,Histone Acetyltransferase,
7994,MOZ,Histone Acetyltransferase,
23522,MOZ2,Acetyltransferase Family,
7994,MRD32,Acetyltransferase Family,
51111,MRD51,Histone Methyltransferase Family,
55870,MRD52,Histone Methyltransferase,
6872,MRXS33,Acetyltransferase Family,
56979,MSBP3,Histone Methyltransferase Family,
25828,MT-TRX,Histone Methyltransferase,
7799,MTB-ZF,Histone Methyltransferase Family,H3K9
25828,MTRX,Histone Methyltransferase,
7994,MYST-3,Histone Acetyltransferase,
84148,MYST1,Acetyltransferase Family,
11143,MYST2,Acetyltransferase Family,
7994,MYST3,Acetyltransferase Family,
23522,MYST4,Acetyltransferase Family,
6872,N-TAF1,Acetyltransferase Family,
79829,NAA40,Histone Acetyltransferase,
79829,NAT11,Histone Acetyltransferase,
79829,NatD,Histone Acetyltransferase,
8648,NCOA1,Acetyltransferase Family,"H3, H4"
8202,NCOA3,Acetyltransferase Family,
10919,NG36,Histone Methyltransferase,
10919,NG36/G9a,Histone Methyltransferase,
55904,NKp44L,Histone Methyltransferase Family,
6872,NSCL2,Acetyltransferase Family,
64324,NSD1,Histone Methyltransferase,"H3K36, H4K20"
7468,NSD2,Histone Methyltransferase,
54904,NSD3,Histone Methyltransferase,
6872,OF,Acetyltransferase Family,
2138,OFC1,Histone Methyltransferase,
5956,OPN1LW,Histone Acetyltransferase,
611,OPN1SW,Histone Methyltransferase,
8850,P/CAF,Histone Acetyltransferase,
29072,p231HBP,Histone Methyltransferase Family,
6872,P250,Acetyltransferase Family,
2033,p300,Histone Acetyltransferase,
55824,PAG,Histone Acetyltransferase,
55824,PAG1,Histone Acetyltransferase,
79829,Patt1,Histone Methyltransferase Family,
8850,pCAF,Histone Methyltransferase Family,
2648,PCAF-b,Acetyltransferase Family,
57060,PCBP4,Histone Acetyltransferase,
8202,pCIP,Acetyltransferase Family,
100303755,PET117,Histone Acetyltransferase,
63976,PFM13,Histone Methyltransferase,"H3K9, DNA motif"
11107,PFM2,Histone Methyltransferase,H3K9
11105,PFM4,Histone Methyltransferase,
56978,PFM5,Histone Methyltransferase,
56979,PFM6,Histone Methyltransferase Family,H3K4
59335,PFM9,Histone Methyltransferase,
10524,PLIP,Acetyltransferase Family,"H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16"
54904,pp14328,Histone Methyltransferase Family,
387893,PR-Set7,Histone Methyltransferase,
639,PRDI-BF1,Histone Methyltransferase,H3K9
639,PRDM1,Histone Methyltransferase,H3K9
59335,PRDM12,Histone Methyltransferase,H3K9
63976,PRDM16,Histone Methyltransferase,"H3K9, DNA motif"
7799,PRDM2,Histone Methyltransferase,H3K9
2122,PRDM3,Histone Methyltransferase,H4R3
11107,PRDM5,Histone Methyltransferase,H3K9
11105,PRDM7,Histone Methyltransferase,
56978,PRDM8,Histone Methyltransferase,
56979,PRDM9,Histone Methyltransferase Family,H3K4
3276,PRMT1,Histone Methyltransferase,H4R3
90826,PRMT10,Arinine Methyltransferase Family,
3275,PRMT2,Arinine Methyltransferase Family,H4
10196,PRMT3,Arinine Methyltransferase Family,
10498,PRMT4,Arinine Methyltransferase Family,H3R17
10419,PRMT5,Arinine Methyltransferase Family,"H3R8, H4R3"
55170,PRMT6,Arinine Methyltransferase Family,"H2AR3, H3R2, H4R4"
54496,PRMT7,Arinine Methyltransferase Family,"H2A, H4R3"
56341,PRMT8,Arinine Methyltransferase Family,H4R
80204,PRMT9,Arinine Methyltransferase Family,H4R3
57325,PRO1194,Histone Acetyltransferase,
23522,qkf,Acetyltransferase Family,
23522,querkopf,Acetyltransferase Family,
8202,RAC3,Acetyltransferase Family,
55213,RCBTB1,Histone Methyltransferase,
5956,RCP,Histone Acetyltransferase,
55213,RDEOA,Histone Methyltransferase Family,
7468,REIIBP,Histone Methyltransferase,
8648,RIP160,Acetyltransferase Family,"H3, H4"
7799,RIZ,Histone Methyltransferase,H3K9
7799,RIZ1,Histone Methyltransferase Family,H3K9
7799,RIZ2,Histone Methyltransferase Family,H3K9
5956,ROP,Histone Acetyltransferase,
1387,RSTS,Acetyltransferase Family,
1387,RSTS1,Histone Acetyltransferase,
2033,RSTS2,Histone Acetyltransferase,
79680,RTL10,Histone Methyltransferase,
7994,RUNXBP2,Histone Acetyltransferase,
2122,RUSAT2,Histone Methyltransferase,
54496,SBIDDS,Arinine Methyltransferase Family,
387893,SET07,Histone Methyltransferase Family,
57108,SET07p,Histone Methyltransferase Family,
9739,Set1,Histone Methyltransferase,
9739,SET1A,Histone Methyltransferase,H3K4
23067,SET1B,Histone Methyltransferase Family,H3K4
29072,SET2,Histone Methyltransferase Family,
57108,SET7,Histone Methyltransferase Family,
80854,SET7/9,Histone Methyltransferase,
387893,SET8,Histone Methyltransferase Family,
80854,SET9,Histone Methyltransferase,
9739,SETD1A,Histone Methyltransferase,H3K4
23067,SETD1B,Histone Methyltransferase,H3K4
29072,SETD2,Histone Methyltransferase Family,H3K36me2
84193,SETD3,Histone Methyltransferase Family,H3K36
79918,SETD6,Histone Methyltransferase,
80854,SETD7,Histone Methyltransferase Family,H3K4
387893,SETD8,Histone Methyltransferase,H4K20
57108,SETD8P1,Histone Methyltransferase,
9869,SETDB1,Histone Methyltransferase,H3K9
83852,SETDB2,Histone Methyltransferase,H3K9
6419,SETMAR,Histone Methyltransferase Family,"H3K4, H3K36"
10419,SKB1,Arinine Methyltransferase Family,"H3R8, H4R3"
10419,SKB1Hs,Histone Methyltransferase,
150572,SMYD1,Histone Methyltransferase,H3K4
56950,SMYD2,Histone Methyltransferase Family,"H3K4, H3K36"
64754,SMYD3,Histone Methyltransferase,"H3K4, H3K5"
64324,SOTOS,Histone Methyltransferase,
64324,SOTOS1,Histone Methyltransferase,
8202,SRC-3,Acetyltransferase Family,
8648,SRC1,Acetyltransferase Family,"H3, H4"
8202,SRC3,Acetyltransferase Family,
64324,STO,Histone Methyltransferase Family,
6839,SUV39h,Histone Methyltransferase Family,
6839,SUV39H1,Histone Methyltransferase Family,"H3S10, H3K9me1, H4"
79723,SUV39H2,Histone Methyltransferase,H3K9me1
51111,SUV4-20H1,Histone Methyltransferase Family,
51111,SUV4-20H2,Histone Methyltransferase,
51111,SUV420H1,Histone Methyltransferase,H4K20
84787,SUV420H2,Histone Methyltransferase Family,H4K20
6872,TAF(II)250,Acetyltransferase Family,
6872,TAF1,Acetyltransferase Family,"H3, H4"
6872,TAF2A,Acetyltransferase Family,
6872,TAFII-250,Acetyltransferase Family,
6872,TAFII250,Acetyltransferase Family,
9869,TDRD21,Histone Methyltransferase Family,H3K9
4297,TET1-MLL,Histone Methyltransferase,
9329,TF3C-delta,Acetyltransferase Family,
9329,TFIII90,Histone Acetyltransferase,
9329,TFIIIC290,Acetyltransferase Family,
9329,TFIIIC90,Histone Acetyltransferase,H3
9329,TFIIICDELTA,Acetyltransferase Family,
10524,TIP,Acetyltransferase Family,
10524,TIP60,Histone Acetyltransferase,
8202,TNRC14,Acetyltransferase Family,
8202,TNRC16,Acetyltransferase Family,
8085,TNRC21,Histone Methyltransferase,H3K4
8202,TRAM-1,Acetyltransferase Family,
7295,TRDX,Histone Methyltransferase,
7295,TRX,Histone Methyltransferase,
4297,TRX1,Histone Methyltransferase,
9757,TRX2,Histone Methyltransferase,H3K4
7468,TRX5,Histone Methyltransferase,
7295,TXN,Histone Methyltransferase,
25828,TXN2,Histone Methyltransferase,
80204,UBR6,Arinine Methyltransferase Family,
80204,UG063H01,Arinine Methyltransferase Family,
80204,VIT1,Arinine Methyltransferase Family,
9757,WBP-7,Histone Methyltransferase Family,
9757,WBP7,Histone Methyltransferase,H3K4
4297,WDSTS,Histone Methyltransferase,
3730,WFDC19,Histone Methyltransferase,
54904,WHISTLE,Histone Methyltransferase Family,
7468,WHS,Histone Methyltransferase,
7468,WHSC1,Histone Methyltransferase Family,H3K27
54904,WHSC1L1,Histone Methyltransferase,"H3K4, H3K27"
2146,WVS,Histone Methyltransferase Family,
2146,WVS2,Histone Methyltransferase Family,
6872,XDP,Acetyltransferase Family,
10524,ZC2HC5,Histone Acetyltransferase,
7994,ZC2HC6A,Acetyltransferase Family,
23522,ZC2HC6B,Histone Acetyltransferase,
11143,ZC2HC7,Histone Acetyltransferase,
84148,ZC2HC8,Histone Acetyltransferase,
100125288,ZGLP1,Histone Methyltransferase,
64754,ZMYND1,Histone Methyltransferase,
56950,ZMYND14,Histone Methyltransferase Family,"H3K4, H3K36"
150572,ZMYND18,Histone Methyltransferase Family,
150572,ZMYND22,Histone Methyltransferase Family,
7994,ZNF220,Acetyltransferase Family,
56979,ZNF899,Histone Methyltransferase Family,H3K4
11105,ZNF910,Histone Methyltransferase,
64754,ZNFN3A1,Histone Methyltransferase Family,
2146,EZH2,Histone Methyltransferase Family,H3K27
