PMID,Title,Authors,Citation,First Author,Journal/Book Abbreviation from PubMed,Publication Year,Create Date,PMCID,NIHMS ID,DOI,,Authors,Author full names,Author(s) ID,Title,Year,Journal/Book  title from Scopus,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link to Scopus Record for article,ISSN,ISBN,CODEN,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID,,Journal Title from Catalog,ISSN,eISSN,StartDate in Catalog,EndDate in Catalog,Type,Resource,Publisher,Link to Publisher Info on TDM,Subscription Time Range Note
18951091,Kcnq1ot1 antisense noncoding RNA mediates lineage-specific transcriptional silencing through chromatin-level regulation,"Pandey RR, Mondal T, Mohammad F, Enroth S, Redrup L, Komorowski J, Nagano T, Mancini-Dinardo D, Kanduri C.",Mol Cell. 2008 Oct 24;32(2):232-46. doi: 10.1016/j.molcel.2008.08.022.,Pandey RR,Mol Cell,2008,10/28/08,,,10.1016/j.molcel.2008.08.022,,Pandey R.R.; Mondal T.; Mohammad F.; Enroth S.; Redrup L.; Komorowski J.; Nagano T.; Mancini-DiNardo D.; Kanduri C.,"Pandey, Radha Raman (7401527540); Mondal, Tanmoy (56260341600); Mohammad, Faizaan (24332736000); Enroth, Stefan (57201126238); Redrup, Lisa (15080945500); Komorowski, Jan (18344289500); Nagano, Takashi (7202187355); Mancini-DiNardo, Debora (6505999413); Kanduri, Chandrasekhar (6603955990)",7401527540; 56260341600; 24332736000; 57201126238; 15080945500; 18344289500; 7202187355; 6505999413; 6603955990,Kcnq1ot1 Antisense Noncoding RNA Mediates Lineage-Specific Transcriptional Silencing through Chromatin-Level Regulation,2008,Molecular Cell,32,2,,232,246,14,959,10.1016/j.molcel.2008.08.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-54049138948&doi=10.1016%2fj.molcel.2008.08.022&partnerID=40&md5=cc15fa63e12af3cbf743bde5603d6247,10972765,,MOCEF,18951091,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-54049138948,,Molecular cell,1097-2765,1097-4164,1997,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
21963238,Genomic maps of long noncoding RNA occupancy reveal principles of RNA-chromatin interactions,"Chu C, Qu K, Zhong FL, Artandi SE, Chang HY.",Mol Cell. 2011 Nov 18;44(4):667-78. doi: 10.1016/j.molcel.2011.08.027. Epub 2011 Sep 29.,Chu C,Mol Cell,2011,10/4/11,PMC3249421,NIHMS340672,10.1016/j.molcel.2011.08.027,,Chu C.; Qu K.; Zhong F.; Artandi S.; Chang H.,"Chu, Ci (54580757400); Qu, Kun (37261977800); Zhong, Franklin L. (57191280226); Artandi, Steven E. (6701340152); Chang, Howard Y. (7407523052)",54580757400; 37261977800; 57191280226; 6701340152; 7407523052,Genomic Maps of Long Noncoding RNA Occupancy Reveal Principles of RNA-Chromatin Interactions,2011,Molecular Cell,44,4,,667,678,11,936,10.1016/j.molcel.2011.08.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054756754&doi=10.1016%2fj.molcel.2011.08.027&partnerID=40&md5=6ff34ad5abf386f11439d7dcbb8a4483,10974164,,MOCEF,21963238,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-80054756754,,Molecular cell,1097-2765,1097-4164,1997,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
18001824,RNF8 ubiquitylates histones at DNA double-strand breaks and promotes assembly of repair proteins,"Mailand N, Bekker-Jensen S, Faustrup H, Melander F, Bartek J, Lukas C, Lukas J.",Cell. 2007 Nov 30;131(5):887-900. doi: 10.1016/j.cell.2007.09.040. Epub 2007 Nov 20.,Mailand N,Cell,2007,11/16/07,,,10.1016/j.cell.2007.09.040,,Mailand N.; Bekker-Jensen S.; Faustrup H.; Melander F.; Bartek J.; Lukas C.; Lukas J.,"Mailand, Niels (6508079244); Bekker-Jensen, Simon (8675813400); Faustrup, Helene (23003843400); Melander, Fredrik (56997316500); Bartek, Jiri (7103077558); Lukas, Claudia (6701850628); Lukas, Jiri (7103141343)",6508079244; 8675813400; 23003843400; 56997316500; 7103077558; 6701850628; 7103141343,RNF8 Ubiquitylates Histones at DNA Double-Strand Breaks and Promotes Assembly of Repair Proteins,2007,Cell,131,5,,887,900,13,916,10.1016/j.cell.2007.09.040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36248966246&doi=10.1016%2fj.cell.2007.09.040&partnerID=40&md5=779ff03db3dec7e27ddd5eca9a4c1ec9,928674,,CELLB,18001824,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-36248966246,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
12086617,The histone variant H3.3 marks active chromatin by replication-independent nucleosome assembly,"Ahmad K, Henikoff S.",Mol Cell. 2002 Jun;9(6):1191-200. doi: 10.1016/s1097-2765(02)00542-7.,Ahmad K,Mol Cell,2002,6/28/02,,,10.1016/s1097-2765(02)00542-7,,Ahmad K.; Henikoff S.,"Ahmad, Kami (7202244659); Henikoff, Steven (7101924631)",7202244659; 7101924631,The histone variant H3.3 marks active chromatin by replication-independent nucleosome assembly,2002,Molecular Cell,9,6,,1191,1200,9,883,10.1016/S1097-2765(02)00542-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036299092&doi=10.1016%2fS1097-2765%2802%2900542-7&partnerID=40&md5=839c13b4562d90c7afd15d1bd39a86cd,10972765,,MOCEF,12086617,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-0036299092,,Molecular cell,1097-2765,1097-4164,1997,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
11864602,Opening of compacted chromatin by early developmental transcription factors HNF3 (FoxA) and GATA-4,"Cirillo LA, Lin FR, Cuesta I, Friedman D, Jarnik M, Zaret KS.",Mol Cell. 2002 Feb;9(2):279-89. doi: 10.1016/s1097-2765(02)00459-8.,Cirillo LA,Mol Cell,2002,2/28/02,,,10.1016/s1097-2765(02)00459-8,,Cirillo L.A.; Lin F.R.; Cuesta I.; Friedman D.; Jarnik M.; Zaret K.S.,"Cirillo, Lisa Ann (7005402682); Lin, Frank Robert (12807117100); Cuesta, Isabel (57196591698); Friedman, Dara (7402079762); Jarnik, Michal (6602111411); Zaret, Kenneth S. (7006121133)",7005402682; 12807117100; 57196591698; 7402079762; 6602111411; 7006121133,Opening of compacted chromatin by early developmental transcription factors HNF3 (FoxA) and GATA-4,2002,Molecular Cell,9,2,,279,289,10,875,10.1016/S1097-2765(02)00459-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036184236&doi=10.1016%2fS1097-2765%2802%2900459-8&partnerID=40&md5=fc6363244023bef2ae5766723d99815f,10972765,,,11864602,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-0036184236,,Molecular cell,1097-2765,1097-4164,1997,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
16399082,Hyperdynamic plasticity of chromatin proteins in pluripotent embryonic stem cells,"Meshorer E, Yellajoshula D, George E, Scambler PJ, Brown DT, Misteli T.",Dev Cell. 2006 Jan;10(1):105-16. doi: 10.1016/j.devcel.2005.10.017.,Meshorer E,Dev Cell,2006,1/10/06,PMC1868458,NIHMS18673,10.1016/j.devcel.2005.10.017,,Meshorer E.; Yellajoshula D.; George E.; Scambler P.J.; Brown D.T.; Misteli T.,"Meshorer, Eran (6602483496); Yellajoshula, Dhananjay (22236110300); George, Eric (10641574500); Scambler, Peter J. (7006489319); Brown, David T. (55738781900); Misteli, Tom (56777562500)",6602483496; 22236110300; 10641574500; 7006489319; 55738781900; 56777562500,Hyperdynamic plasticity of chromatin proteins in pluripotent embryonic stem cells,2006,Developmental Cell,10,1,,105,116,11,817,10.1016/j.devcel.2005.10.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29744447772&doi=10.1016%2fj.devcel.2005.10.017&partnerID=40&md5=a044dad88f197010765000aa3cf190a6,15345807,,DCEEB,16399082,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-29744447772,,Developmental cell,1534-5807,1878-1551,2001,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
18001825,RNF8 transduces the DNA-damage signal via histone ubiquitylation and checkpoint protein assembly,"Huen MS, Grant R, Manke I, Minn K, Yu X, Yaffe MB, Chen J.",Cell. 2007 Nov 30;131(5):901-14. doi: 10.1016/j.cell.2007.09.041. Epub 2007 Nov 20.,Huen MS,Cell,2007,11/16/07,PMC2149842,NIHMS35444,10.1016/j.cell.2007.09.041,,Huen M.S.Y.; Grant R.; Manke I.; Minn K.; Yu X.; Yaffe M.B.; Chen J.,"Huen, Michael S.Y. (23004751500); Grant, Robert (7402006067); Manke, Isaac (6601975451); Minn, Kay (57197047075); Yu, Xiaochun (35249962700); Yaffe, Michael B. (7101980618); Chen, Junjie (35261693300)",23004751500; 7402006067; 6601975451; 57197047075; 35249962700; 7101980618; 35261693300,RNF8 Transduces the DNA-Damage Signal via Histone Ubiquitylation and Checkpoint Protein Assembly,2007,Cell,131,5,,901,914,13,816,10.1016/j.cell.2007.09.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36249031962&doi=10.1016%2fj.cell.2007.09.041&partnerID=40&md5=4761ee0e2305b9cdfe1cab477894f5b4,928674,,CELLB,18001825,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-36249031962,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
10322133,Coactivator and corepressor complexes in nuclear receptor function,"Xu L, Glass CK, Rosenfeld MG.",Curr Opin Genet Dev. 1999 Apr;9(2):140-7. doi: 10.1016/S0959-437X(99)80021-5.,Xu L,Curr Opin Genet Dev,1999,5/14/99,,,10.1016/S0959-437X(99)80021-5,,Lan X.; Glass C.K.; Rosenfeld M.G.,"Lan, Xu (8747933700); Glass, Christopher K. (7102657746); Rosenfeld, Michael G. (35356018800)",8747933700; 7102657746; 35356018800,Coactivator and corepressor complexes in nuclear receptor function,1999,Current Opinion in Genetics and Development,9,2,,140,147,7,815,10.1016/S0959-437X(99)80021-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033119162&doi=10.1016%2fS0959-437X%2899%2980021-5&partnerID=40&md5=4148de482ad03da4d0f87820a0999e6b,0959437X,,COGDE,10322133,Article,Final,,Scopus,2-s2.0-0033119162,,Current opinion in genetics & development,0959-437X,1879-0380,2/1/95,(blank),Journal,ScienceDirect Freedom Collection 2021,Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
12427740,The methyl-CpG-binding protein MeCP2 links DNA methylation to histone methylation,"Fuks F, Hurd PJ, Wolf D, Nan X, Bird AP, Kouzarides T.",J Biol Chem. 2003 Feb 7;278(6):4035-40. doi: 10.1074/jbc.M210256200. Epub 2002 Nov 9.,Fuks F,J Biol Chem,2003,11/13/02,,,10.1074/jbc.M210256200,,Fuks F.; Hurd P.J.; Wolf D.; Nan X.; Bird A.P.; Kouzarides T.,"Fuks, François (57207536965); Hurd, Paul J. (7004006817); Wolf, Daniel (36832468200); Nan, Xinsheng (57201594531); Bird, Adrian P. (55556105700); Kouzarides, Tony (57207512044)",57207536965; 7004006817; 36832468200; 57201594531; 55556105700; 57207512044,The methyl-CpG-binding protein MeCP2 links DNA methylation to histone methylation,2003,Journal of Biological Chemistry,278,6,,4035,4040,5,804,10.1074/jbc.M210256200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037423186&doi=10.1074%2fjbc.M210256200&partnerID=40&md5=aec1a2dff3e64d3e0de7081f529bd10b,219258,,JBCHA,12427740,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-0037423186,,Journal of biological chemistry,0021-9258,1083-351X,1905,(blank),Journal,Elsevier Open Access Journals,Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
9885572,"NURD, a novel complex with both ATP-dependent chromatin-remodeling and histone deacetylase activities","Xue Y, Wong J, Moreno GT, Young MK, Côté J, Wang W.",Mol Cell. 1998 Dec;2(6):851-61. doi: 10.1016/s1097-2765(00)80299-3.,Xue Y,Mol Cell,1998,1/14/99,,,10.1016/s1097-2765(00)80299-3,,Xue Y.; Wong J.; Moreno G.T.; Young M.K.; Côté J.; Wang W.,"Xue, Yutong (7402270841); Wong, Jiemin (34874132000); Moreno, G. Tony (57197580250); Young, Mary K. (7404193344); Côté, Jacques (57193157321); Wang, Weidong (7501755635)",7402270841; 34874132000; 57197580250; 7404193344; 57193157321; 7501755635,"NURD, a novel complex with both ATP-dependent chromatin-remodeling and histone deacetylase activities",1998,Molecular Cell,2,6,,851,861,10,794,10.1016/S1097-2765(00)80299-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032252209&doi=10.1016%2fS1097-2765%2800%2980299-3&partnerID=40&md5=91c483eff1ab8529192c787ba0123233,10972765,,MOCEF,9885572,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-0032252209,,Molecular cell,1097-2765,1097-4164,1997,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
18358809,FoxA1 translates epigenetic signatures into enhancer-driven lineage-specific transcription,"Lupien M, Eeckhoute J, Meyer CA, Wang Q, Zhang Y, Li W, Carroll JS, Liu XS, Brown M.",Cell. 2008 Mar 21;132(6):958-70. doi: 10.1016/j.cell.2008.01.018.,Lupien M,Cell,2008,3/25/08,PMC2323438,NIHMS44018,10.1016/j.cell.2008.01.018,,Lupien M.; Eeckhoute J.; Meyer C.A.; Wang Q.; Zhang Y.; Li W.; Carroll J.S.; Liu X.S.; Brown M.,"Lupien, Mathieu (23501997200); Eeckhoute, Jérôme (8612934600); Meyer, Clifford A. (7403586241); Wang, Qianben (8694228900); Zhang, Yong (55910556800); Li, Wei (56127183500); Carroll, Jason S. (7402034908); Liu, X. Shirley (35233881000); Brown, Myles (7405385272)",23501997200; 8612934600; 7403586241; 8694228900; 55910556800; 56127183500; 7402034908; 35233881000; 7405385272,FoxA1 Translates Epigenetic Signatures into Enhancer-Driven Lineage-Specific Transcription,2008,Cell,132,6,,958,970,12,742,10.1016/j.cell.2008.01.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40849085514&doi=10.1016%2fj.cell.2008.01.018&partnerID=40&md5=5e3ba0ae6fcc893cf04807efd0e12909,928674,,CELLB,18358809,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-40849085514,,Cell,0092-8674,1097-4172,1995,(blank),Journal,Cell Press Collection [ECCPC],Elsevier,https://www.elsevier.com/about/policies/text-and-data-mining,
