PMID,Title,Authors,Citation,First Author,Journal/Book Abbreviation from PubMed,Publication Year,Create Date,PMCID,NIHMS ID,DOI,,Authors,Author full names,Author(s) ID,Title,Year,Journal/Book  title from Scopus,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link to Scopus Record for article,ISSN,ISBN,CODEN,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID,,Journal Title from Catalog,ISSN,eISSN,StartDate in Catalog,EndDate in Catalog,Type,Resource,Publisher,Link to Publisher Info on TDM,Subscription Time Range Note
10709768,Differential induction of androgen receptor transactivation by different androgen receptor coactivators in human prostate cancer DU145 cells,"Yeh S, Kang HY, Miyamoto H, Nishimura K, Chang HC, Ting HJ, Rahman M, Lin HK, Fujimoto N, Hu YC, Mizokami A, Huang KE, Chang C.",Endocrine. 1999 Oct;11(2):195-202. doi: 10.1385/endo:11:2:195.,Yeh S,Endocrine,1999,3/10/00,,,10.1385/endo:11:2:195,,Yeh S.; Kang H.-Y.; Miyamoto H.; Nishimura K.; Chang H.-C.; Ting H.-J.; Rahman M.; Lin H.-K.; Fujimoto N.; Hu Y.-C.; Mizokami A.; Huang K.-E.; Chang C.,"Yeh, Shuyuan (7402085701); Kang, Hong-Yo (7404071573); Miyamoto, Hiroshi (54889686300); Nishimura, Kazuo (55730600000); Chang, Hong-Chiang (7407522787); Ting, Huei-Ju (7005654509); Rahman, Mujib (57218973665); Lin, Hui-Kuan (36071262000); Fujimoto, Naohiro (7202959273); Hu, Yueh-Chiang (7407115996); Mizokami, Atsushi (7004115023); Huang, Ko-En (7403188155); Chang, Chawnshang (57201527908)",7402085701; 7404071573; 54889686300; 55730600000; 7407522787; 7005654509; 57218973665; 36071262000; 7202959273; 7407115996; 7004115023; 7403188155; 57201527908,Differential induction of androgen receptor transactivation by different androgen receptor coactivators in human prostate cancer DU145 cells,1999,Endocrine,11,2,,195,202,7,68,10.1385/endo:11:2:195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033398962&doi=10.1385%2fendo%3a11%3a2%3a195&partnerID=40&md5=a76b72a8f05060327f14e8f0035ee43d,1355008X,,EOCRE,10709768,Article,Final,,Scopus,2-s2.0-0033398962,,Endocrine,1355-008X,1559-0100,1/1/98,(blank),Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
11429551,CIITA coordinates multiple histone acetylation modifications at the HLA-DRA promoter,"Beresford GW, Boss JM.",Nat Immunol. 2001 Jul;2(7):652-7. doi: 10.1038/89810.,Beresford GW,Nat Immunol,2001,6/29/01,,,10.1038/89810,,Beresford G.W.; Boss J.M.,"Beresford, G.W. (57150874600); Boss, J.M. (7103212809)",57150874600; 7103212809,CIITA coordinates multiple histone acetylation modifications at the HLA-DRA promoter,2001,Nature Immunology,2,7,,652,657,5,157,10.1038/89810,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034913587&doi=10.1038%2f89810&partnerID=40&md5=167fbc8c94c4800ebbafee6ea8a81e96,15292908,,NIAMC,11429551,Article,Final,,Scopus,2-s2.0-0034913587,,Nature immunology,1529-2908,1529-2916,7/1/00,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
12461564,"Chromatin and CD4, CD8A and CD8B gene expression during thymic differentiation","Kioussis D, Ellmeier W.",Nat Rev Immunol. 2002 Dec;2(12):909-19. doi: 10.1038/nri952.,Kioussis D,Nat Rev Immunol,2002,12/4/02,,,10.1038/nri952,,Kioussis D.; Ellmeier W.,"Kioussis, Dimitris (7006888777); Ellmeier, Wilfried (6701349783)",7006888777; 6701349783,"Chromatin and CD4, CD8A and CD8B gene expression during thymic differentiation",2002,Nature Reviews Immunology,2,12,,909,919,10,95,10.1038/nri952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036885036&doi=10.1038%2fnri952&partnerID=40&md5=c5117b1034fa1692d321295288bc784e,14741733,,NRIAB,12461564,Review,Final,,Scopus,2-s2.0-0036885036,,Nature reviews. Immunology,1474-1733,1474-1741,10/1/01,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
11913067,"Haematopoietic cell-fate decisions, chromatin regulation and ikaros",Georgopoulos K.,Nat Rev Immunol. 2002 Mar;2(3):162-74. doi: 10.1038/nri747.,Georgopoulos K,Nat Rev Immunol,2002,3/27/02,,,10.1038/nri747,,Georgopoulos K.,"Georgopoulos, Katia (7006021598)",7006021598,"Haematopoietic cell-fate decisions, chromatin regulation and ikaros",2002,Nature Reviews Immunology,2,3,,162,174,12,278,10.1038/nri747,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036519296&doi=10.1038%2fnri747&partnerID=40&md5=86cb0711d9559a27f76488061a002030,14741733,,NRIAB,11913067,Review,Final,,Scopus,2-s2.0-0036519296,,Nature reviews. Immunology,1474-1733,1474-1741,10/1/01,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
14964690,Anp32e (Cpd1) and related protein phosphatase 2 inhibitors,Santa-Coloma TA.,Cerebellum. 2003;2(4):310-20. doi: 10.1080/14734220310017212.,Santa-Coloma TA,Cerebellum,2003,2/18/04,,,10.1080/14734220310017212,,Santa-Coloma T.A.,"Santa-Coloma, Tomás A. (7004025586)",7004025586,Anp32e (Cpd1) and related protein phosphatase 2 inhibitors,2003,Cerebellum,2,4,,310,320,10,36,10.1080/14734220310017212,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1442349258&doi=10.1080%2f14734220310017212&partnerID=40&md5=f6df49d46526d842c9a265f2e0823df5,14734222,,CEREC,14964690,Review,Final,,Scopus,2-s2.0-1442349258,,"Cerebellum (London, England)",1473-4222,1473-4230,3/1/02,(blank),Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
15580276,Rapid spontaneous accessibility of nucleosomal DNA,"Li G, Levitus M, Bustamante C, Widom J.",Nat Struct Mol Biol. 2005 Jan;12(1):46-53. doi: 10.1038/nsmb869. Epub 2004 Dec 5.,Li G,Nat Struct Mol Biol,2005,12/8/04,,,10.1038/nsmb869,,Li G.; Levitus M.; Bustamante C.; Widom J.,"Li, Gu (8698360800); Levitus, Marcia (6603541040); Bustamante, Carlos (7102614881); Widom, Jonathan (7006676536)",8698360800; 6603541040; 7102614881; 7006676536,Rapid spontaneous accessibility of nucleosomal DNA,2005,Nature Structural and Molecular Biology,12,1,,46,53,7,511,10.1038/nsmb869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-11444262202&doi=10.1038%2fnsmb869&partnerID=40&md5=52d19560cf46ce3cbd25a1f288a796d8,15459993,,NSMBC,15580276,Article,Final,,Scopus,2-s2.0-11444262202,,Nature structural & molecular biology,1545-9993,1545-9985,1/1/04,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
15643425,Distinct activities of CHD1 and ACF in ATP-dependent chromatin assembly,"Lusser A, Urwin DL, Kadonaga JT.",Nat Struct Mol Biol. 2005 Feb;12(2):160-6. doi: 10.1038/nsmb884. Epub 2005 Jan 9.,Lusser A,Nat Struct Mol Biol,2005,1/12/05,,,10.1038/nsmb884,,Lusser A.; Urwin D.L.; Kadonaga J.T.,"Lusser, Alexandra (6602435692); Urwin, Debra L. (8765527300); Kadonaga, James T. (7005688505)",6602435692; 8765527300; 7005688505,Distinct activities of CHD1 and ACF in ATP-dependent chromatin assembly,2005,Nature Structural and Molecular Biology,12,2,,160,166,6,215,10.1038/nsmb884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-15544369061&doi=10.1038%2fnsmb884&partnerID=40&md5=81ff8a9a6e1c43ecce510efda1c6355d,15459985,,NSMBC,15643425,Article,Final,,Scopus,2-s2.0-15544369061,,Nature structural & molecular biology,1545-9993,1545-9985,1/1/04,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
16025127,A 'loop recapture' mechanism for ACF-dependent nucleosome remodeling,"Strohner R, Wachsmuth M, Dachauer K, Mazurkiewicz J, Hochstatter J, Rippe K, Längst G.",Nat Struct Mol Biol. 2005 Aug;12(8):683-90. doi: 10.1038/nsmb966. Epub 2005 Jul 17.,Strohner R,Nat Struct Mol Biol,2005,7/19/05,,,10.1038/nsmb966,,Strohner R.; Wachsmuth M.; Dachauer K.; Mazurkiewicz J.; Hochstatter J.; Rippe K.; Längst G.,"Strohner, Ralf (6508378530); Wachsmuth, Malte (6603132763); Dachauer, Karoline (8860304600); Mazurkiewicz, Jacek (8368160200); Hochstatter, Julia (8860304800); Rippe, Karsten (57195547557); Längst, Gernot (55881962300)",6508378530; 6603132763; 8860304600; 8368160200; 8860304800; 57195547557; 55881962300,A 'loop recapture' mechanism for ACF-dependent nucleosome remodeling,2005,Nature Structural and Molecular Biology,12,8,,683,690,7,82,10.1038/nsmb966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26944433102&doi=10.1038%2fnsmb966&partnerID=40&md5=6629be6ab88ee0fe652c31b6fc60e861,15459985,,NSMBC,16025127,Article,Final,,Scopus,2-s2.0-26944433102,,Nature structural & molecular biology,1545-9993,1545-9985,1/1/04,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
16086025,Chromatin remodeling through directional DNA translocation from an internal nucleosomal site,"Saha A, Wittmeyer J, Cairns BR.",Nat Struct Mol Biol. 2005 Sep;12(9):747-55. doi: 10.1038/nsmb973. Epub 2005 Aug 7.,Saha A,Nat Struct Mol Biol,2005,8/9/05,,,10.1038/nsmb973,,Saha A.; Wittmeyer J.; Cairns B.R.,"Saha, Anjanabha (7201627414); Wittmeyer, Jacqueline (6602307168); Cairns, Bradley R. (7004508741)",7201627414; 6602307168; 7004508741,Chromatin remodeling through directional DNA translocation from an internal nucleosomal site,2005,Nature Structural and Molecular Biology,12,9,,747,755,8,171,10.1038/nsmb973,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26944461283&doi=10.1038%2fnsmb973&partnerID=40&md5=ce169102dbcf286fd780aa50df9dd9fb,15459985,,NSMBC,16086025,Article,Final,,Scopus,2-s2.0-26944461283,,Nature structural & molecular biology,1545-9993,1545-9985,1/1/04,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
16299514,Structure and chromosomal DNA binding of the SWIRM domain,"Qian C, Zhang Q, Li S, Zeng L, Walsh MJ, Zhou MM.",Nat Struct Mol Biol. 2005 Dec;12(12):1078-85. doi: 10.1038/nsmb1022. Epub 2005 Nov 20.,Qian C,Nat Struct Mol Biol,2005,11/22/05,,,10.1038/nsmb1022,,Qian C.; Zhang Q.; Li S.; Zeng L.; Walsh M.J.; Zhou M.-M.,"Qian, Chengmin (7202311105); Zhang, Qiang (55624488456); Li, SiDe (8653167300); Zeng, Lei (7401904457); Walsh, Martin J. (7402337089); Zhou, Ming-Ming (57202997714)",7202311105; 55624488456; 8653167300; 7401904457; 7402337089; 57202997714,Structure and chromosomal DNA binding of the SWIRM domain,2005,Nature Structural and Molecular Biology,12,12,,1078,1085,7,46,10.1038/nsmb1022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-28544433624&doi=10.1038%2fnsmb1022&partnerID=40&md5=fd2a89afebb41be7d1fc4ace4853dd70,15459985,,NSMBC,16299514,Article,Final,,Scopus,2-s2.0-28544433624,,Nature structural & molecular biology,1545-9993,1545-9985,1/1/04,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
32839595,Glis1 facilitates induction of pluripotency via an epigenome-metabolome-epigenome signalling cascade,"Li L, Chen K, Wang T, Wu Y, Xing G, Chen M, Hao Z, Zhang C, Zhang J, Ma B, Liu Z, Yuan H, Liu Z, Long Q, Zhou Y, Qi J, Zhao D, Gao M, Pei D, Nie J, Ye D, Pan G, Liu X.",Nat Metab. 2020 Sep;2(9):882-892. doi: 10.1038/s42255-020-0267-9. Epub 2020 Aug 24.,Li L,Nat Metab,2020,8/26/20,,,10.1038/s42255-020-0267-9,,Li L.; Chen K.; Wang T.; Wu Y.; Xing G.; Chen M.; Hao Z.; Zhang C.; Zhang J.; Ma B.; Liu Z.; Yuan H.; Liu Z.; Long Q.; Zhou Y.; Qi J.; Zhao D.; Gao M.; Pei D.; Nie J.; Ye D.; Pan G.; Liu X.,"Li, Linpeng (56942605800); Chen, Keshi (35749413100); Wang, Tianyu (57210976293); Wu, Yi (56039607000); Xing, Guangsuo (57205211062); Chen, Mengqi (57218599574); Hao, Zhihong (57218598968); Zhang, Cheng (57251906500); Zhang, Jinye (57196379566); Ma, Bochao (57196038692); Liu, Zihuang (57195366870); Yuan, Hao (57216674190); Liu, Zijian (57218599498); Long, Qi (55206651700); Zhou, Yanshuang (56813868000); Qi, Juntao (56814169700); Zhao, Danyun (56039433100); Gao, Mi (56942811500); Pei, Duanqing (7102806599); Nie, Jinfu (57195398967); Ye, Dan (57213515292); Pan, Guangjin (7201975935); Liu, Xingguo (55577932500)",56942605800; 35749413100; 57210976293; 56039607000; 57205211062; 57218599574; 57218598968; 57251906500; 57196379566; 57196038692; 57195366870; 57216674190; 57218599498; 55206651700; 56813868000; 56814169700; 56039433100; 56942811500; 7102806599; 57195398967; 57213515292; 7201975935; 55577932500,Glis1 facilitates induction of pluripotency via an epigenome–metabolome–epigenome signalling cascade,2020,Nature Metabolism,2,9,,882,892,10,53,10.1038/s42255-020-0267-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089755336&doi=10.1038%2fs42255-020-0267-9&partnerID=40&md5=4549b7b2cfa2ed56188aa7a4fdc45863,25225812,,,32839595,Article,Final,,Scopus,2-s2.0-85089755336,,Nature metabolism,(blank),2522-5812,1/1/19,(blank),Journal,Nature Journals Online,SpringerNature,https://dev.springernature.com/,
23620257,Epigenetic dysregulation in hepatocellular carcinoma: focus on polycomb group proteins,"Au SL, Ng IO, Wong CM.",Front Med. 2013 Jun;7(2):231-41. doi: 10.1007/s11684-013-0253-7. Epub 2013 Apr 26.,Au SL,Front Med,2013,4/27/13,,,10.1007/s11684-013-0253-7,,Au S.L.-K.; Ng I.O.-L.; Wong C.-M.,"Au, Sandy Leung-Kuen (36460622800); Ng, Irene Oi-Lin (7102753722); Wong, Chun-Ming (16314668400)",36460622800; 7102753722; 16314668400,Epigenetic dysregulation in hepatocellular carcinoma: focus on polycomb group proteins,2013,Frontiers of Medicine,7,2,,231,241,10,17,10.1007/s11684-013-0253-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894309264&doi=10.1007%2fs11684-013-0253-7&partnerID=40&md5=2f81154bfc80c60c05fe0f0f9a720f84,20950217,,,23620257,Review,Final,,Scopus,2-s2.0-84894309264,,Frontiers of medicine,2095-0217,2095-0225,1/1/11,12/31/16,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
17652056,"Methylated DNA sequences for early cancer detection, molecular classification and chemotherapy response prediction","Ibáñez de Cáceres I, Cairns P.",Clin Transl Oncol. 2007 Jul;9(7):429-37. doi: 10.1007/s12094-007-0081-9.,Ibáñez de Cáceres I,Clin Transl Oncol,2007,7/27/07,,,10.1007/s12094-007-0081-9,,Ibáñz de Cáceres I.; Cairns P.,"Ibáñz de Cáceres, I. (24587579300); Cairns, P. (57216999593)",24587579300; 57216999593,"Methylated DNA sequences for early cancer detection, molecular classification and chemotherapy response prediction",2007,Clinical and Translational Oncology,9,7,,429,437,8,19,10.1007/s12094-007-0081-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35748970749&doi=10.1007%2fs12094-007-0081-9&partnerID=40&md5=c9321d156d8a05df0969632d17101fe8,1699048X,,,17652056,Article,Final,,Scopus,2-s2.0-35748970749,,Clinical & translational oncology,1699-048X,1699-3055,1/1/05,12/31/16,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
16841236,DNA damage checkpoints and cancer,"Shimada M, Nakanishi M.",J Mol Histol. 2006 Sep;37(5-7):253-60. doi: 10.1007/s10735-006-9039-4. Epub 2006 Jul 14.,Shimada M,J Mol Histol,2006,7/15/06,,,10.1007/s10735-006-9039-4,,Shimada M.; Nakanishi M.,"Shimada, Midori (8833092000); Nakanishi, Makoto (35406534300)",8833092000; 35406534300,DNA damage checkpoints and cancer,2006,Journal of Molecular Histology,37,45053,,253,260,7,35,10.1007/s10735-006-9039-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751299346&doi=10.1007%2fs10735-006-9039-4&partnerID=40&md5=978ec4012fd5af57f63a6c89d57d182f,15672379,,JMHOA,16841236,Review,Final,,Scopus,2-s2.0-33751299346,,Journal of molecular histology,1567-2379,1567-2387,1/1/04,12/31/16,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
17120107,Chromatin remodeling and repair of DNA double-strand breaks,"Wong LY, Recht J, Laurent BC.",J Mol Histol. 2006 Sep;37(5-7):261-9. doi: 10.1007/s10735-006-9047-4. Epub 2006 Aug 8.,Wong LY,J Mol Histol,2006,11/23/06,,,10.1007/s10735-006-9047-4,,Wong L.-Y.; Recht J.; Laurent B.C.,"Wong, Lai-Yee (16246606000); Recht, Judith (54409286700); Laurent, Brehon C. (7102324328)",16246606000; 54409286700; 7102324328,Chromatin remodeling and repair of DNA double-strand breaks,2006,Journal of Molecular Histology,37,45053,,261,269,8,24,10.1007/s10735-006-9047-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751287211&doi=10.1007%2fs10735-006-9047-4&partnerID=40&md5=2f0908b925053cf53f326e38c8d103e2,15672379,,JMHOA,17120107,Review,Final,,Scopus,2-s2.0-33751287211,,Journal of molecular histology,1567-2379,1567-2387,1/1/04,12/31/16,Journal,SpringerLink Contemporary,SpringerNature,https://dev.springernature.com/,
