geneid,gene,domain,Target entity
7485,CHD5,Double Chromodomain,
84181,CHD6,PHD,
8997,CHDS5,Double Chromodomain,
1033,CIP2,Bromodomain,
55213,CLLD7,Ankyrin Family,
55213,CLLL7,Ankyrin Family,
5290,CLOVE,Bromodomain,
55655,CLR19.9,Nibrin,
5956,COD5,Bromodomain,
8726,COGIS,Embryonic Ectoderm Development,
5948,CRABP-II,PHD,
6599,CRACC1,SWI/SNF Related,
6601,CRACC2,SWI/SNF Related,
6602,CRACD1,SWI/SNF Related,
6603,CRACD2,SWI/SNF Related,
6604,CRACD3,SWI/SNF Related,
5948,CRBP2,PHD,
5948,CRBPII,PHD,
1387,CREBBP,Bromodomain,
6598,CSS3,SWI/SNF Related,
6597,CSS4,Bromodomain,
6605,CSS5,SWI/SNF Related,
29028,CT137,Bromodomain,
10765,CT31,PHD,
56165,CT41.1,TUDOR,
221400,CT41.2,TUDOR,
676,CT9,Bromodomain,
1483,CTAA1,Bromodomain,
1483,CTPP5,Bromodomain,
5290,CWS5,Bromodomain,
30827,CXXC1,CXXC Finger Protein,"CG, DNA motif"
4297,CXXC7,Bromodomain,
10166,D13S327,BAH Family,
6046,D6S113E,Bromodomain,
11083,DATF-1,PHD,
11083,DATF1,PHD,
55023,DCAF14,Bromodomain,
54014,DCAF19,Bromodomain,
5269,DFNB91,Bromodomain,
11168,DFS70,PC4 and SFRS1 Interacting Protein,
11083,DIDO1,PHD,
11083,DIDO2,PHD,
11083,DIDO3,PHD,
55023,DIDOD,Bromodomain,
11083,DIO-1,PHD,
11083,DIO1,PHD,
26013,dJ138B7.3,MBT Family,
57221,dJ171N11.1,WD40 Family,
22920,dJ190I16.1,Bromodomain,
154150,dJ309H15.1,PWWP Family,
54466,dJ323P24.1,TUDOR,
474343,dJ323P24.2,TUDOR,
54887,dJ349A12.1,PHD,
64094,dJ421D16.1,Bromodomain,
79710,dJ75H8.2,Zinc Finger CW Domain,
11083,dJ885L7.8,PHD,
22823,dJ976O13.2,TUDOR,
55063,DKFZp434N0510,PWWP Family,
9425,DKFZP586C1622,Chromodomain,
1788,DNMT3A,PWWP Family,dhC
1788,DNMT3A2,DNA Methyltransferase,
1789,DNMT3B,PWWP Family,dhC
29947,DNMT3L,ADD Domain,H3K4
8193,DPF1,PHD,
5977,DPF2,Tandem-PHD,
8110,DPF3,Tandem-PHD,"H3, H4"
55717,DR11,Bromodomain,
1826,DSCAM,Double Chromodomain,
64094,DTDP1,Bromodomain,
8997,DUET,PHD,
8997,DUO,Double Chromodomain,
54466,DXF34,TUDOR,
8242,DXS1272E,PHD,
6872,DYT3,Bromodomain,
6872,DYT3/TAF1,Bromodomain,
10933,Eaf3,Mortality Factor 4 Like,
54556,Eaf4,PHD,
51592,ECTO,Bromodomain,
8726,EED,Embryonic Ectoderm Development,
1106,EEOC,Double Chromodomain,
79813,EHMT1,Ankyrin Family,H3K9
79813,EHMT1-IT1,Ankyrin Family,
10919,EHMT2,Ankyrin Family,H3K9
10919,Em:AF134726.3,Ankyrin Family,
2033,EP300,Bromodomain,"H2A, H2B, H3, H4"
79813,Eu-HMTase1,Ankyrin Family,
79813,EUHMTASE1,Ankyrin Family,
2186,FAC1,Bromodomain,
2186,FALZ,PHD,
22920,FLA3,Bromodomain,
10580,FLAF2,Bromodomain,
55063,FLJ10057,PWWP Family,
55274,FLJ10975,PHD,
79813,FLJ12879,Ankyrin Family,
124359,FLJ38866,Chromodomain,
79813,FP13812,Ankyrin Family,
6046,FSH,Bromodomain,
6046,FSRG1,Bromodomain,
10933,FWP006,Mortality Factor 4 Like,
10919,G9A,Ankyrin Family,
23081,GASC1,TTD Family,
10919,GAT8,Ankyrin Family,
100125288,GATAD3,Ankyrin Family,
2641,GCG,Ankyrin Family,
2648,GCN5,Bromodomain,
2648,GCN5L2,Bromodomain,
6606,GEMIN1,TUDOR,
7485,GET1,PHD,
51230,GLEA2,TTD Family,
55213,GLP,Ankyrin Family,
2641,GLP-1,Ankyrin Family,
2641,GLP1,Ankyrin Family,
2641,GLP2,Ankyrin Family,
84656,GLYR1,PWWP Family,H3K4me3
84656,GLYR1HIBDL,Bromodomain,
342096,GOLGA6,Ankyrin Family,
342096,GOLGA6A,Ankyrin Family,
5253,GRC5,PHD,
2641,GRPP,Ankyrin Family,
2956,GTBP,PWWP Family,
2956,GTMBP,PWWP Family,
23522,GTPTS,Tandem-PHD,
26013,H-L(3)MBT,Histone Methyl-Lysine Binding Protein,
83746,H-l(3)mbt-l,MBT Family,
9200,HACD1,Bromodomain,
11177,hACF1,Bromodomain,
8997,HAPIP,Double Chromodomain,
6595,hBRM,SWI/SNF Related,
51773,HBXAP,PHD,
51230,HCA58,TTD Family,
23310,hCAP-D3,Methyl Reader,
54892,hCAP-G2,Methyl Reader,
6638,HCERN3,TUDOR,
30827,hCGBP,CXXC Finger Protein,
23310,hcp-6,Methyl Reader,
3068,HDGF,PWWP Family,DNA motif
50810,HDGF-2,PWWP Family,
50810,HDGF2,PWWP Family,
154150,HDGFL1,PWWP Family,
84717,HDGFL2,PWWP Family,"H3K79me3, H4K20me3, H3K36me3"
50810,HDGFL3,PWWP Family,
154150,Hdgfrp1,PWWP Family,
84717,HDGFRP2,PWWP Family,
50810,HDGFRP3,PWWP Family,
11335,HECH,Chromobox,
8726,HEED,Embryonic Ectoderm Development,
2648,HGCN5,Bromodomain,
55717,HH14,Bromodomain,
23310,hHCP-6,Methyl Reader,
10166,HHH,BAH Family,
8438,hHR54,ADD Domain,
84656,HIBDL,PWWP Family,
6596,HIP116,SWI/SNF Related,
6596,HIP116A1,SWI/SNF Related,
79142,hJUNE-1b,PHD Finger Protein,
7570,HKR-T1,PHD,
6596,HLTF,SWI/SNF Related,
3068,HMG1L2,PWWP Family,
29128,hNP95,Ubiquitin Like with PHD and Ring Finger Domains,
2956,HNPCC5,PWWP Family,
23468,HP1-ALPHA,Bromodomain,
10951,HP1-BETA,Chromobox,
11335,HP1-GAMMA,Chromobox,
10951,HP1Hs-beta,Chromobox,
11335,HP1Hs-gamma,Chromobox,
10951,HP1Hsbeta,Chromobox,
57332,HPC3,Chromodomain,
5252,hPHF1,TUDOR,
8438,HR54,ADD Domain,
8438,hRAD54,ADD Domain,
154150,HRP-1,PWWP Family,
84717,HRP-2,PWWP Family,
50810,HRP-3,PWWP Family,
84717,HRP2,PWWP Family,
4297,HRX,Bromodomain,
2956,HSAP,PWWP Family,
51460,hSFMBT,MBT Family,
54737,HSMPP8,Chromodomain,
6595,hSNF2a,SWI/SNF Related,
6597,hSNF2b,Bromodomain,
6594,hSNF2L,SWI/SNF Related,
6598,hSNFS,SWI/SNF Related,
4998,HSORC1,BAH Family,
4998,HSORC1L,BAH Family,
10933,HSPC008,Bromodomain,
10933,HSPC061,Bromodomain,
54556,HSPC301,Bromodomain,
83985,HSpin1,Spindlin,
91133,HsT1031,MBT Family,
10933,HsT17725,Chromo-Barrel,
30827,HsT2645,CXXC Finger Protein,
8805,hTIF1,Bromodomain,
4297,HTRX1,PHD,
29128,hUHRF1,Ubiquitin Like with PHD and Ring Finger Domains,
23476,HUNK1,Bromodomain,
23476,HUNKI,Bromodomain,
29128,huNp95,PHD,
29128,ICBP90,PHD,
1789,ICF,PWWP Family,
1789,ICF1,PWWP Family,
7862,IDDDFP,PWWP Family,
3431,IFI41,Bromodomain,
3431,IFI75,Bromodomain,
28875,IGKV3D-15,Bromodomain,
28875,IGKV3D15,Bromodomain,
10944,IMAGE145052,Bromodomain,
3621,ING1,PHD,
27160,ING1-like,PHD,
3622,ING1L,PHD,
3622,ING2,PHD,H3K4me3
54556,ING3,PHD,"H2A, H4"
51147,ING4,Inhibitor of Growth Family Member,H3K4me3
84289,ING5,PHD,"H3K4me3, H3K4me2"
27160,INGX,PHD,
6598,INI1,SWI/SNF Related,
3431,IPR1,Bromodomain,
4012,IRAP,Bromodomain,
6594,ISWI,SWI/SNF Related,
23338,JADE-2,PHD,
9767,JADE-3,PHD,
79960,JADE1,PHD,"H3, H4"
23338,JADE2,PHD,"H3, H4"
9767,JADE3,PHD,"H3, H4"
5927,JARID1A,Bromodomain,
10765,JARID1B,PHD,
8242,JARID1C,PHD,
80853,JHDM1D,PHD,
5253,JHDM1E,PHD,
23133,JHDM1F,PHD,
9682,JHDM3A,TTD Family,
23081,JHDM3C,TTD Family,
9682,JMJD2,TTD Family,
9682,JMJD2A,TTD Family,
23081,JMJD2C,TTD Family,
546,JMS,ADD Domain,
5927,Jumonji,PHD,
8997,KALRN,Double Chromodomain,
1033,KAP,Bromodomain,
22920,KAP-1,Bromodomain,
22920,KAP-3,Bromodomain,
1033,KAP1,Bromodomain,
22920,KAP3,Bromodomain,
2648,KAT2A,Bromodomain,
8850,KAT2B,Bromodomain,
1387,KAT3A,Bromodomain,
2033,KAT3B,Bromodomain,
6872,KAT4,Bromodomain,
7994,KAT6A,Tandem-PHD,"H3, H4"
23522,KAT6B,PHD,H3
9682,KDM4A,TTD Family,"H3K4me3, H3K36me3"
23081,KDM4C,TTD Family,"H3K9me3, H3K36me3"
5927,KDM5A,PHD,H3K4me3
10765,KDM5B,PHD,H3K4me3
8242,KDM5C,PHD,H3K4me3
80853,KDM7A,PHD,"H3K9me2, H3K27me2, H4K20me1"
23133,KDM7B,PHD,
5253,KDM7C,PHD,
8019,KIAA0043,Bromodomain,
23310,KIAA0056,Bromodomain,
23515,KIAA0136,Bromodomain,
9866,KIAA0298,Bromodomain,
11176,KIAA0314,Bromodomain,
23522,KIAA0383,Bromodomain,
5253,KIAA0662,Bromodomain,
9682,KIAA0677,Bromodomain,
26013,KIAA0681,Bromodomain,
7468,KIAA1090,Bromodomain,
7468,KIAA1111,Bromodomain,
51592,KIAA1113,Bromodomain,
23613,KIAA1125,Bromodomain,
54454,KIAA1240,Bromodomain,
57221,KIAA1244,WD40 Family,
27154,KIAA1286,Bromodomain,
55870,KIAA1420,Bromodomain,
29994,KIAA1476,Bromodomain,
57661,KIAA1542,PHD,
51317,KIAA1696,Bromodomain,
80853,KIAA1718,Bromodomain,
27443,KIAA1740,Bromodomain,
79813,KIAA1876,Bromodomain,
158358,KIAA2026,Bromodomain,
6046,KIAA9001,Bromodomain,
22920,KIFAP3,Bromodomain,
79813,KLEFS1,Ankyrin Family,
6839,KMT1A,Chromodomain,
10919,KMT1C,Ankyrin Family,
79813,KMT1D,Ankyrin Family,
4297,KMT2A,Bromodomain,H3K4
55870,KMT2H,Bromodomain,
7468,KMT3F,PWWP Family,
7468,KMT3G,Nuclear Receptor Binding SET Domain Protein,
7570,KOX15,PHD,
2547,Ku70,Bromodomain,
28875,L16,Bromodomain,
28875,L16a,Bromodomain,
28875,L16b,Bromodomain,
28875,L16c,Bromodomain,
83746,L3MBT,MBT Family,
26013,L3MBTL,MBT Family,
26013,L3MBTL1,Histone Methyl-Lysine Binding Protein,"H1BK26, H4K20"
83746,L3MBTL2,MBT Family,"H3K4, H3K9, H3K27, H4K20"
84456,L3MBTL3,MBT Family,H4K20me
91133,L3MBTL4,MBT Family,HKme
3925,Lag,TUDOR,
3925,LAP18,TUDOR,
83985,LAT,Spindlin,
65980,LAVS3040,Bromodomain,
11168,LEDGF,PC4 and SFRS1 Interacting Protein,
57060,LIP4,Bromodomain,
4012,LNPEP,Bromodomain,
287,LQT4,Ankyrin Family,
222229,LRWD1,WD40 Family,
54892,LUZP5,Methyl Reader,
11262,LYSP100,Bromodomain,
11262,LYSP100-A,Bromodomain,
11262,LYSP100-B,Bromodomain,
6672,lysp100b,Bromodomain,
1788,M.HsaIIIA,PWWP Family,
1789,M.HsaIIIB,PWWP Family,
10951,M31,Chromobox,
84733,M33,Chromodomain,
22823,M96,TUDOR,
84456,MBT-1,MBT Family,
84456,MBT1,MBT Family,
54799,MBTD1,MBT Family,"H4K20me1, H4K20me2"
5290,MCAP,Bromodomain,
57060,MCG10,Bromodomain,
5290,MCM,Bromodomain,
5290,MCMTC,Bromodomain,
23310,MCPH22,Methyl Reader,
10933,MEAF3,Mortality Factor 4 Like,
54556,MEAF4,PHD,
6839,MG44,Chromodomain,
84733,MGC10561,Chromodomain,
115426,MGC33463,TUDOR,
1107,Mi-2a,PHD,
1108,Mi-2b,Double Chromodomain,
1107,Mi2-ALPHA,PHD,
1108,Mi2-BETA,PHD,
4297,MLL,Bromodomain,
8522,MLL/GAS7,Bromodomain,
4297,MLL1,Bromodomain,
4297,MLL1A,Bromodomain,
8028,MLLT10,PHD,H3K79
4302,MLLT6,PHD,H3K79
56163,Mmip-2,TUDOR,
7468,MMSET,Nuclear Receptor Binding SET Domain Protein,
10951,MOD1,Chromobox,
23515,MORC3,Zinc Finger CW Domain,
79710,MORC4,Zinc Finger CW Domain,
23522,MORF,Tandem-PHD,
10933,MORF4L1,Mortality Factor 4 Like,H4
10933,MORF4L1MRG15,Bromodomain,
9643,MORF4L2,Chromo-Barrel,
9643,MORFL2,Chromo-Barrel,
10933,MORFRG15,Chromo-Barrel,
7994,MOZ,Tandem-PHD,
23522,MOZ2,Tandem-PHD,
54737,MPHOSPH8,Chromodomain,"H3K9me3, H3K9me2"
54737,MPP8,Bromodomain,
6598,MRD15,SWI/SNF Related,
6597,MRD16,Bromodomain,
10771,MRD30,Bromodomain,
7994,MRD32,Tandem-PHD,
55870,MRD52,Bromodomain,
10933,MRG15,Chromo-Barrel,
9643,MRGX,Chromo-Barrel,
8242,MRX13,PHD,
546,MRX52,ADD Domain,
254065,MRX93,Bromodomain,
8242,MRXJ,PHD,
6872,MRXS33,Bromodomain,
8242,MRXSCJ,PHD,
8242,MRXSJ,PHD,
23133,MRXSSD,PHD,
2956,MSH6,PWWP Family,H3K36me3
10943,MSL3,Chromo-Barrel,H4K20me1
10943,MSL3L1,Chromo-Barrel,
64094,MST117,Bromodomain,
5269,MSTP057,Bromodomain,
64094,MSTP117,Bromodomain,
64094,MSTP140,Bromodomain,
54892,MTB,Methyl Reader,
22823,MTF2,TUDOR,H3K36me3
26147,MTF2L1,TUDOR,
5252,MTF2L2,PHD Finger Protein,
51147,My036,Bromodomain,
7994,MYST-3,Tandem-PHD,
7994,MYST3,Tandem-PHD,
23522,MYST4,Tandem-PHD,
84656,N-PAC,PWWP Family,
6872,N-TAF1,Bromodomain,
54014,N143,Bromodomain,
29117,NAG4,Bromodomain,
55655,NALP2,Nibrin,
6046,NAT,Bromodomain,
4683,NBN,Nibrin,
8535,NBP16,Chromodomain,
4683,NBS,Nibrin,
4683,NBS1,Nibrin,
23310,NCAPD3,Methyl Reader,
54892,NCAPG2,Methyl Reader,
6595,NCBRS,Bromodomain,
55023,ndrp,Bromodomain,
2186,NEDDFL,PHD,
8193,NEUD4,PHD,
8193,neuro-d4,PHD,
10919,NG36,Ankyrin Family,
10919,NG36/G9a,Ankyrin Family,
115426,NIRF,TUDOR,
55655,NLRP2,Nibrin,
84656,NP60,PWWP Family,
29128,NP95,Bromodomain,
83985,nrs,Spindlin,
6872,NSCL2,Bromodomain,
7468,NSD2,PWWP Family,
54904,NSD3,PWWP Family,
6594,NURF140,SWI/SNF Related,
2186,NURF301,Nucleosome Remodeling Factor,
23515,NXP2,Zinc Finger CW Domain,
221400,NY-CO-45,TUDOR,
51230,NZF,TTD Family,
6046,O27.1.1,Bromodomain,
10927,OCR,Bromodomain,
6872,OF,Bromodomain,
3925,OP18,TUDOR,
5956,OPN1LW,Bromodomain,
4998,ORC1,BAH Family,
222229,ORCA,Leucine Rich Repeats and WD Repeat Domain Containing,
8019,ORFX,Bromodomain,
10166,ORNT1,BAH Family,
4012,P-LAP,Bromodomain,
8850,P/CAF,Bromodomain,
27044,p100,TUDOR,
5290,p110-alpha,Bromodomain,
10902,p120,Bromodomain,
2956,p160,PWWP Family,
7158,p202,Tumor Protein P53 Binding Protein,
3621,p24ING1c,PHD,
6872,P250,Bromodomain,
10951,p25beta,Chromobox,
84289,p28ING5,PHD,
51147,p29ING4,Inhibitor of Growth Family Member,
2033,p300,Bromodomain,
51773,p325,PHD,
3621,p33,PHD,
3621,p33ING1,PHD,
3621,p33ING1b,PHD,
3622,p33ING2,PHD,
3621,p47,PHD,
3621,p47ING1a,PHD,
54556,p47ING3,PHD,
11168,p52,PC4 and SFRS1 Interacting Protein,
7158,p53BP1,Tumor Protein P53 Binding Protein,
11168,p75,PC4 and SFRS1 Interacting Protein,
4683,P95,Nibrin,
55824,PAG,Bromodomain,
55824,PAG1,Bromodomain,
11168,PAIP,PC4 and SFRS1 Interacting Protein,
55655,PAN1,Nibrin,
4998,PARC1,Origin Recognition Complex Subunit,
55193,PB1,Bromodomain,
55193,PBRM1,Bromodomain,
8535,PC2,Chromodomain,
57332,PC3,Chromodomain,
8850,PCAF,Bromodomain,
2648,PCAF-b,Bromodomain,
57060,PCBP4,Bromodomain,
124359,PCCP1,Chromodomain,
30827,PCCX1,PHD,
5252,PCL1,PHD,
22823,PCL2,TUDOR,
26147,PCL3,TUDOR,
51449,PCYOX1,PHD,
54704,Pdp1,Bromodomain,
7862,Peregrin,Bromodomain,
57649,PF1,PHD,
326,PGA1,PHD,
5252,PHF1,PHD Finger Protein,
55274,PHF10,PHD,
57649,PHF12,PHD,
148479,PHF13,PHD,H3K4me3
9678,PHF14,PHD,"H2A, H2B, H3"
23338,PHF15,PHD,
9767,PHF16,PHD,
79960,PHF17,PHD,
30827,PHF18,PHD,
26147,PHF19,TUDOR,
5252,PHF2,PHD Finger Protein,H3K9me2
51230,PHF20,TTD Family,H4
51105,PHF20L1,TUDOR,H3K4me
51317,PHF21A,PHD,
112885,PHF21B,PHD,
79142,PHF23,PHD Finger Protein,
23469,PHF3,PHD,
112885,PHF4,PHD,
148479,PHF5,PHD,
23133,PHF8,PHD,"H3K9me1, H3K9me2, H3K27me2, H4K20me1, H3K36me2, H3K36me3, H3K4me3"
55023,PHIP,Bromodomain,H3
57661,PHRF1,PHD,
5269,PI-6,Bromodomain,
5290,PI3K,Bromodomain,
5290,PI3K-alpha,Bromodomain,
5269,PI6,Bromodomain,
5290,PIK3CA,Bromodomain,
1105,PILBOS,Chromodomain Helicase DNA Binding Protein,
4012,PLAP,Bromodomain,
10765,PLU-1,PHD,
10765,PLU1,PHD,
54904,pp14328,PWWP Family,
3925,PP17,TUDOR,
3925,PP19,TUDOR,
83985,PP2030,Spindlin,
57661,PPP1R125,PHD,
23504,PPP1R133,PHD,
6598,PPP1R144,SWI/SNF Related,
10155,PPP1R157,Bromodomain,
57221,PPP1R33,WD40 Family,
10765,PPP1R98,PHD,
3925,PR22,TUDOR,
23613,PRKCBP1,Bromodomain,
29028,PRO2000,Bromodomain,
6603,PRO2451,SWI/SNF Related,
23613,PRO2893,Bromodomain,
65980,PRO9856,Bromodomain,
11168,PSIP1,PC4 and SFRS1 Interacting Protein,
11168,PSIP2,PC4 and SFRS1 Interacting Protein,
8805,PTC6,PHD,
51592,PTC7,Bromodomain,
5269,PTI,Bromodomain,
9200,PTPLA,Bromodomain,
10765,PUT1,PHD,
6638,PWCR,TUDOR,
154150,PWWP1,PWWP Family,
26108,Pygo1,Bromodomain,
90780,Pygo2,Bromodomain,
55655,PYPAF2,Nibrin,
23522,qkf,PHD,
23522,querkopf,PHD,
10580,R85FL,Bromodomain,
23613,RACK7,Bromodomain,
546,RAD54,ADD Domain,
8438,RAD54A,ADD Domain,
546,RAD54L,ADD Domain,
5897,RAG-2,PHD,
5897,RAG2,PHD,H3K4me3
5927,RBBP-2,PHD,
5927,RBBP2,PHD,
10765,RBBP2H1,Bromodomain,
10765,RBBP2H1A,PHD,
5927,RBP2,PHD,
10765,RBP2-H1,PHD,
5948,RBPC2,PHD,
57332,RC1,Chromodomain,
55213,RCBTB1,Ankyrin Family,
5956,RCP,Bromodomain,
55213,RDEOA,Ankyrin Family,
6598,RDT,SWI/SNF Related,
7468,REIIBP,Nuclear Receptor Binding SET Domain Protein,
5977,REQ,PHD,
5977,requiem,PHD,
51592,RFG7,Bromodomain,
84181,RIGB,PHD,
23504,RIM-BP2,PHD,
23504,RIMBP2,PHD,
6046,RING3,Bromodomain,
8019,RING3L,Bromodomain,
29128,RNF106,PHD,
115426,RNF107,PHD,
56163,RNF17,TUDOR,
57661,RNF221,PHD,
6046,RNF3,Bromodomain,
6596,RNF80,SWI/SNF Related,
8805,RNF82,PHD,
10155,RNF96,Bromodomain,
5956,ROP,Bromodomain,
6602,Rsc6p,SWI/SNF Related,
6599,Rsc8,SWI/SNF Related,
51773,RSF-1,PHD,
51773,RSF1,PHD,
1387,RSTS,Bromodomain,
1387,RSTS1,Bromodomain,
2033,RSTS2,Bromodomain,
6638,RT-LI,TUDOR,
6598,RTPS1,SWI/SNF Related,
6597,RTPS2,Bromodomain,
51460,RU1,MBT Family,
7994,RUNXBP2,Tandem-PHD,
10933,S863-6,Chromo-Barrel,
54799,SA49P01,MBT Family,
6941,SC1,PHD,
22955,SCMH1,MBT Family,
10389,SCML2,MBT Family,
22955,Scml3,MBT Family,
5269,SERPINB6,Bromodomain,
6598,Sfh1p,SWI/SNF Related,
51460,SFMBT,MBT Family,
51460,SFMBT1,MBT Family,H4K20
57713,SFMBT2,MBT Family,"H3K9me2, H3K9me3, H3K27me3, H4K20me2, H4K20me3"
6603,SGD2,SWI/SNF Related,
112869,Sgf29,Bromodomain,
10580,SH3D5,Bromodomain,
10580,SH3P12,Bromodomain,
1108,SIHIWES,PHD,
10166,SLC25A15,Origin Recognition Complex Subunit,
6638,SM-D,TUDOR,
6638,sm-N,TUDOR,
6606,SMA,TUDOR,
6606,SMA1,TUDOR,
