,word,count
257,hdac6,12
258,hdac5,12
259,h3k79,12
260,h3k4me,12
261,h3k36,12
262,h3 histone variant,12
263,h2a h2b z,12
264,gfap,12
265,fig,12
266,factor,12
267,e2f,12
268,e1a,12
269,dnmt3a,12
270,dnaseus,12
271,ddm1,12
272,cenp w,12
273,ash1,12
274,alt,12
275,4 hh1,12
276,tlr,11
277,tip49,11
278,th,11
279,sir3,11
280,sin3um,11
281,sin,11
282,pr set7,11
283,phd,11
284,pfcaf1,11
285,pcg,11
286,p33,11
287,nua4,11
288,mdm2,11
289,ki,11
290,kdm1um,11
291,k,11
292,jmjd3,11
293,jmjd2c,11
294,jarid1c,11
295,isw2,11
296,ikaros,11
297,i,11
298,hsp90,11
299,hp1beta,11
300,hcg,11
301,h3k56,11
302,h2b histone,11
303,gfi1,11
304,g9a,11
305,enl,11
306,ch,11
307,cadherin e,11
308,binding protein tata,11
309,akt,11
310,a cenp h4,11
311,6 il,11
312,4 deltan hh1,11
313,3 h1,11
314,2 h3,11
315,15 il,11
316,1 hdac,11
317,xpc,10
318,vdr,10
319,topro3,10
320,tnf,10
321,tip5,10
322,swc2,10
323,spt16,10
324,smrt,10
325,smgcn5,10
326,set,10
327,runx2,10
328,receptor,10
329,rbap46,10
330,pra,10
331,p38,10
332,p21waf1,10
333,oskm,10
334,mtor,10
335,mll1,10
336,mi2,10
337,mef2,10
338,l,10
339,jdp2,10
340,hp1gamma,10
341,hdac9,10
342,hdac4,10
343,h3k4me1,10
344,h3 variant,10
345,h2bk34ub,10
346,gene histone,10
347,gene,10
348,fgf2,10
349,duf,10
350,dmap1,10
351,demethylase,10
352,dbet1,10
353,complex hat,10
354,class hdac ii,10
355,chk2,10
356,caf1,10
357,brd2,10
358,bmal1 clock,10
359,beta galactosidase,10
360,baf l,10
361,alpha gamma ifn tnf,10
362,acetylase histone,10
363,2 mi,10
364,1 kap,10
365,1,10
366,uhrf1,9
367,tsa,9
368,trxg,9
369,tlk1b,9
370,tet,9
371,swc2 z,9
372,snf2p,9
373,sm22alpha,9
374,rxr,9
375,rhmfb,9
376,rfx,9
377,prc1,9
378,ppargamma,9
379,pp2a,9
380,pc,9
381,p11,9
382,ncp,9
383,mtr,9
384,msk1,9
385,mitf,9
386,mcph1,9
387,isw1b,9
388,ing4,9
389,icsbp irf8,9
390,i pol,9
391,hspt16 ntd,9
392,histone modifier,9
393,histone histone,9
394,hipk2,9
395,h4k16ac,9
396,h3s10,9
397,h3k36me3,9
398,h3 k9,9
399,h3 h4 tetramer,9
400,h2a h2b histone,9
401,gene homeotic,9
402,fold histone,9
403,endog,9
404,eif4e,9
405,ecr,9
406,dicer,9
407,core h2a histone,9
408,chd,9
409,cdk,9
410,ccar2,9
411,cca1,9
412,baf155,9
413,arc drip trap,9
414,appl1,9
415,antigen cell nuclear proliferate,9
416,alpha tubulin,9
417,a trichostatin,9
418,2 hdac1,9
419,xnap1l,8
420,wdr5,8
421,tubulin,8
422,trap,8
423,tap,8
424,sumo,8
425,srcap,8
426,spin1,8
427,smarca4,8
428,setdb1,8
429,sasp,8
430,reverse transcriptase,8
431,polius,8
432,pole3,8
433,pml,8
434,parps,8
435,parg,8
436,pad2,8
437,p65,8
438,p16,8
439,ogg1,8
440,nr,8
441,nf y,8
442,mta2,8
443,mrp2,8
444,mrp1,8
445,kdm3um,8
446,kai1,8
447,ing1,8
448,ikk,8
449,histone recombinant,8
450,hho1p,8
451,hdm,8
452,h4k12ac,8
453,h1o,8
454,gp p,8
455,fie,8
456,fas,8
457,ep300,8
458,egfp,8
459,e entr,8
460,dok4 irs5,8
461,cyclin dependant kinase,8
462,cyclin,8
463,cremalpha,8
464,complex swr1,8
465,complex nurd,8
466,complex mtr zn,8
467,complex hdac,8
468,class ii mhc,8
469,class gene ii mhc,8
470,chrac,8
471,ch histone,8
472,cdk2,8
473,cd2,8
474,bbd h2a,8
475,baf47 hsnf5 ini1,8
476,atr,8
477,appl2,8
478,ape1,8
479,anti antibody flag,8
480,annexin v,8
481,actr,8
482,4 h1,8
483,3 mb,8
484,2,8
485,1 blimp,8
486,wnt,7
487,vhl,7
488,tp63,7
489,tgfbeta2,7
490,tfiiia,7
491,tfiih,7
492,tfiid,7
493,telomerase,7
494,tcr,7
495,taf,7
496,swi3,7
497,sth1,7
498,stat,7
499,ss,7
500,sr,7
501,snf5 swi3,7
502,snf5,7
503,smprmt1,7
504,smarcd3,7
505,sirtuin,7
506,sh,7
507,saha,7
508,rest,7
509,ref,7
510,rdp1,7
511,ras,7
512,raralpha,7
513,protein sir,7
514,protein,7
515,pro,7
516,pol,7
517,pfnapl,7
518,pcreb,7
519,p48,7
520,p tefb,7
521,nrsf,7
522,npm,7
523,np,7
524,notch,7
525,nf1,7
526,msi1,7
527,moz,7
528,morf,7
529,met1,7
530,kmts,7
531,jnk,7
532,ii rnap,7
533,hsnf2h,7
534,hr,7
535,histone peptid,7
536,histone lysine methyltransferase,7
537,helicase,7
538,hdlp,7
539,hda19,7
540,hbo1,7
541,h4k16,7
542,h3 x,7
543,h1c,7
544,h1 variant,7
545,gi,7
546,flius,7
547,firefly luciferase,7
548,f,7
549,ezh1,7
550,ehmt2,7
551,egfp nictabum,7
552,domain,7
553,dimer histone,7
554,cul4 ddb1,7
555,core histone protein,7
556,condensin i,7
557,clr6,7
558,ck p25,7
559,chp46,7
560,cd31,7
561,caf i,7
562,c cenp,7
563,brain derived factor neurotrophic,7
564,bptf,7
565,bmp,7
566,binding cpg methyl protein,7
567,beta tubulin,7
568,beta ifn,7
569,beta globin,7
570,bd1,7
571,baf170,7
572,arp,7
573,ago1,7
574,adp poly polymerase ribose,7
575,ada2,7
576,acetyl h3 histone,7
577,8 il,7
578,3 h3 histone variant,7
579,2 rag,7
580,2 nap,7
581,2 h1,7
582,1 h3 histone,7
583,1 eso ny,7
584,1 chhat,7
585,1 assembly nucleosome protein,7
586,vrn2,6
587,twist,6
588,trik9,6
589,trf2,6
590,trbeta,6
591,tp2,6
592,tfiib,6
593,tax,6
594,taf250,6
595,swi6,6
596,suz12,6
597,spt6,6
598,snf,6
599,smad3,6
600,smad,6
601,slik,6
602,sir2p,6
603,set1,6
604,rbap48,6
605,rankl,6
606,rad9,6
607,rad54,6
608,progesterone receptor,6
609,polycomb,6
610,pdb,6
611,pax3,6
612,p60,6
613,p46,6
614,o,6
615,nurd znf827,6
616,nuclear receptor,6
617,notch receptor,6
618,nbs1,6
619,myod,6
620,mrna xnap1l,6
621,mo xnap1l,6
622,mediator,6
623,mbp,6
624,mbd2,6
625,lxralpha,6
626,lm,6
627,kdm6um,6
628,kdm,6
629,kappab nf p65,6
630,ipk1,6
631,htel27,6
632,hsp,6
633,hormone receptor thyroid,6
634,hmgb1 protein,6
635,hmg protein,6
636,hir1,6
637,hif,6
638,hfkbp25,6
639,hdac8,6
640,hdac protein,6
641,harpnalpha,6
642,ha,6
643,h3k9me1,6
644,h3 y,6
645,h2az,6
646,h2ax histone,6
647,h2a variant,6
648,h2a lap1,6
649,h2a histone z,6
650,h2a histone protein,6
651,h1 histone protein,6
652,gfp h1,6
653,geminin,6
654,gelsolin,6
655,gamma interferon,6
656,fold histone protein,6
657,fluorescent green protein,6
658,fi,6
659,factp140,6
660,erbeta,6
661,dparp,6
662,domain hat,6
663,dnase,6
664,dcr1,6
665,ctd rnapii,6
666,cor n,6
667,complex saga,6
668,complex mrn,6
669,complex mis18,6
670,chk1,6
671,cd8,6
672,cd4cd25,6
673,cd44,6
674,cd1,6
675,catalase,6
676,cat5 ena tk,6
677,c jun,6
678,bsa,6
679,brms1,6
680,brd7 bromodomain,6
681,bf1 prdus,6
682,beta3gal native t5 transcript,6
683,bet protein,6
684,bd2,6
685,b cenp,6
686,associate factor tbp,6
687,arp4p,6
688,ampk snf1,6
689,adaptin beta,6
690,activate kinase mitogen protein,6
691,acetyltransferase,6
692,5 h3,6
693,3 h3 histone,6
694,3 h3 ha,6
695,2beta mi,6
696,2 bmp,6
697,1p48 caf,6
698,14 3 3,6
699,1 et,6
700,1 dna methyltransferase,6
701,trx,5
702,tgfbeta1,5
703,tfiia,5
704,tet3,5
705,tcbdf2,5
706,tand1,5
707,smarcb1,5
708,sh2b1,5
709,set7,5
710,rxr tr,5
711,rpd3,5
712,reelin,5
713,rbbp7,5
714,rap80,5
715,rag,5
716,rad26,5
717,protamin,5
718,promoter setdb1,5
719,prmts,5
720,pre,5
721,pph3,5
722,polymer rna,5
723,polus,5
724,pka,5
725,pig,5
726,pho4,5
727,pfnaps,5
728,p55,5
729,p24,5
730,p19,5
731,nm1,5
732,nkg2d,5
733,ncor,5
734,nap,5
735,myb,5
736,mta1 protein,5
737,mrn,5
738,mrg15,5
739,mmp,5
740,mll,5
741,methyltransferase,5
742,mad max myc,5
743,lxr,5
744,lsh,5
745,lmna,5
746,lef tcf,5
747,lamin,5
748,l1 l1,5
749,ku70,5
750,klf4,5
751,kdm6ako,5
752,kat6um,5
753,kat,5
754,jarid1c protein,5
755,isw1p,5
756,isw1,5
757,integrase protein viral,5
758,ing protein,5
759,ing,5
760,incenp,5
761,immunoglobulin,5
762,ikappab,5
763,ii,5
764,id pdb,5
765,ibeta rtaf,5
766,i taf,5
767,hspt16,5
768,hpc2,5
769,hmgb,5
770,hm,5
771,histone ptm,5
772,histone octame,5
773,histone mutant,5
774,hir protein,5
775,hils1,5
776,her2 neu,5
777,her2,5
778,hc,5
779,hbrm,5
780,hb,5
781,h5 histone,5
782,h4k20me1,5
783,h4 histone peptid,5
784,h3k9 k14ac,5
785,h3k79me2,5
786,h3k64me3,5
787,h3k4ac,5
788,h3k36me,5
789,h3k14,5
790,h3 histone protein,5
791,h3 histone peptid,5
792,h1foo,5
793,h1 histone linker,5
794,group polycomb,5
795,gfp h1c,5
796,gcn4,5
797,g4,5
798,fsh,5
799,family myst,5
800,exiv ix,5
801,erk mek,5
802,elf3,5
803,e3 ligase ubiquitin,5
804,dpy30,5
805,dna pkc,5
806,dna methyl transferase,5
807,dna helicase,5
808,dn,5
809,dmr2,5
810,dimer h2a h2b,5
811,ctcf,5
812,csf1,5
813,crp,5
814,complex tip60,5
815,complex polycomb repressive,5
816,complex pcg,5
817,class hdac i,5
818,chromodomain,5
819,chd1p,5
820,chd1 protein,5
821,chaf1b,5
822,cha e1a ras,5
823,cfo,5
824,cdc45,5
825,cd34,5
826,cd11b,5
827,cal1,5
828,c htp,5
829,brg1 brm,5
830,brdt,5
831,brd3,5
832,bet,5
833,baf60c,5
834,baf57,5
835,baf complex,5
836,b mrg15,5
837,auton,5
838,ataxia mutate telangiectasia,5
839,ash2l,5
840,ascl1,5
841,anp32b n,5
842,alpha factor necrosis tumor,5
843,alpha er,5
844,akt p,5
845,acf recombinant,5
846,ace,5
847,6xhis aahmgb1,5
848,601 ncp,5
849,6 sc,5
850,5 il,5
851,5 h1,5
852,3 src,5
853,3 h3 h4,5
854,3 flag h3,5
855,2 mi nurd,5
856,2 fig,5
857,2 af,5
858,130um mir,5
859,1 vcam,5
860,1 rag,5
861,1 h2a z,5
862,1 gata,5
863,1 brg,5
864,1 86 tat,5
865,ytaf48,4
866,wstf,4
867,w,4
868,vimentin,4
869,upa,4
870,ub,4
871,tyr,4
872,trithorax,4
873,toc1,4
874,th3,4
875,th2um,4
876,th2b,4
877,tert,4
878,taugfp,4
879,tacc2,4
880,swi5,4
881,swi,4
882,suv39h2,4
883,suv39h,4
884,stat1,4
885,srs2,4
886,sparc,4
887,sp,4
888,smc2,4
889,sirt6,4
890,sirt3,4
891,sir4p,4
892,sir3c,4
893,sir,4
894,siflius,4
895,sichaf1b,4
896,shsuv39h1,4
897,sh2b1beta,4
898,setd2,4
899,see,4
900,scf,4
901,satb,4
902,sas2,4
903,sant,4
904,saci,4
905,rsk,4
906,rnap,4
907,rna,4
908,renilla tk,4
909,red,4
910,receptor smoothened,4
911,receptor retinoid x,4
912,rap1,4
913,rage,4
914,rad18,4
915,pten,4
916,prmt,4
917,ppar,4
918,polymerase,4
919,pokemon,4
920,pml raralpha,4
921,plzf,4
922,plakoglobin,4
923,phd1,4
924,per1,4
925,pcreb tax,4
926,par,4
927,p60 subunit,4
928,p53 protein,4
929,p50,4
930,p25,4
931,p240,4
932,oxldl,4
933,ost1,4
934,opn,4
935,nua4 tip60,4
936,npr1,4
937,nmda receptor,4
938,nfkappab,4
939,nfat,4
940,neurotrophin,4
941,neun,4
942,myst,4
943,mvh,4
944,mtorc1,4
945,mta3,4
946,mta protein,4
947,mrc1,4
948,mn,4
949,mmtv promoter,4
950,mmp2,4
951,mi2 nurd,4
952,methh3,4
953,mediator srb,4
954,me,4
955,md spt16,4
956,mcm10,4
957,mc pet,4
958,max max,4
959,macroh2um,4
960,lysine methyltransferase,4
961,lsh promoter,4
962,like piwi protein,4
963,lhy,4
964,klf5,4
965,kinetochore protein,4
966,kinase map,4
967,iva pol,4
968,isw1um,4
969,inos,4
970,ino80p,4
971,ino2p,4
972,ikappabalpha,4
973,iius polymerase rna,4
974,iialpha topoisomerase,4
975,igg rabbit,4
976,ig,4
977,ifng,4
978,id2,4
979,ibeta taf,4
980,hth2um,4
981,hth2b,4
982,hswus snf,4
983,hsp70,4
984,hsf,4
985,hs,4
986,homeodomain plant,4
987,hmo1,4
988,hmgb protein,4
989,hmg,4
990,hjurp,4
991,histone residue,4
992,histone o,4
993,histone molecule,4
994,histone methyl transferase,4
995,hir2,4
996,hils1 protein,4
997,hif1alpha,4
998,hho1,4
999,hhd,4
1000,hemogen k,4
1001,hdmt,4
1002,hdac11,4
1003,hdac sin3,4
1004,halo7 mta2,4
1005,h4k20me2,4
1006,h4 histone lrs,4
1007,h3t,4
1008,h3s28ph,4
1009,h3k9 histone,4
1010,h3k79me,4
1011,h3k64,4
1012,h3k4m1,4
1013,h3k36me2,4
1014,h3k27me2,4
1015,h3k27me,4
1016,h3ac,4
1017,h3 k4,4
1018,h3 human variant,4
1019,h2bub1,4
1020,h2a variant z,4
1021,h2a histone variant z,4
1022,gst kdm1um,4
1023,gsk3beta,4
1024,group high mobility protein,4
1025,gr mrna,4
1026,glis1,4
1027,gin,4
1028,gfp spin1,4
1029,gene p11,4
1030,gene locus pp2c,4
1031,gene hsp,4
1032,gene histone modification,4
1033,gene h1,4
1034,gene globin,4
1035,gef,4
1036,gata4,4
1037,gata3,4
1038,gammah2um x,4
1039,gal4 vp16,4
1040,gad67 mrna,4
1041,fxr,4
1042,fus3,4
1043,foxa3,4
1044,forko,4
1045,flc,4
1046,flag,4
1047,fax,4
1048,family mta,4
1049,family histone,4
1050,factor transcription,4
1051,factor nucleosome remodeling,4
1052,ezh2 protein,4
1053,ezh1 prc2,4
1054,erk2,4
1055,endothelial factor growth vascular,4
1056,emf2,4
1057,emerin,4
1058,egfp h2b,4
1059,egf1,4
1060,eed,4
1061,ecori,4
1062,e2,4
1063,drip,4
1064,domain set,4
1065,domain pwwp,4
1066,domain ph,4
1067,dnmt1s,4
1068,dna pk,4
1069,dna,4
1070,dm,4
1071,demethylase dna,4
1072,deltac sbrdt,4
1073,deacetylase dependant histone nad,4
1074,ddb2,4
1075,dct,4
1076,dapi,4
1077,cyclin e,4
1078,ctf4,4
1079,csf m,4
1080,cse4,4
1081,creb1,4
1082,complex rsc,4
1083,complex pbaf,4
1084,complex ino80,4
1085,complex gin,4
1086,complex,4
1087,cohesin,4
1088,cmt3,4
1089,clr3,4
1090,cebpalpha,4
1091,cdt1,4
1092,cdh1,4
1093,cd114,4
1094,ccr3,4
1095,ccl2,4
1096,cbx1,4
1097,calmodulin,4
1098,c neg,4
1099,c fos mrna,4
1100,c fos,4
1101,brahma,4
1102,bmi1,4
1103,binding camp element protein response,4
1104,beta3gal t5,4
1105,beta globin human locus,4
1106,beta factor growth transform,4
1107,bdnf exus ix,4
1108,bcl x,4
1109,baz1b,4
1110,auto n,4
1111,associate cbp factor p300,4
1112,associate brg1 factor,4
1113,archeal histone,4
1114,aplf,4
1115,antibody control igg rabbit,4
1116,anti flag,4
1117,anti antibody sp1,4
1118,anti antibody satb1,4
1119,anti antibody hils1,4
1120,anti antibody ha,4
1121,anti antibody geminin mouse,4
1122,anp32e,4
1123,anp32b,4
1124,anc1,4
1125,aml1,4
1126,allel igh,4
1127,ago4,4
1128,acid receptor retinoic,4
1129,acetyltransferase b histone type,4
1130,ac,4
1131,abi3,4
1132,aar,4
1133,a nuc,4
1134,a mrtf,4
1135,a mrg15,4
1136,a cenp h3 histone variant,4
1137,a cenp chroma,4
1138,942 a construct crp luciferase promoter,4
1139,5 lox,4
1140,5 dsy,4
1141,48 rbap46,4
1142,3beta gsk,4
1143,3 gata,4
1144,2 zn,4
1145,2 t toxin,4
1146,2 parp,4
1147,2 information regulator silent,4
1148,2 h2a,4
1149,2 cox protein,4
1150,1t h3,4
1151,1p48 chcaf,4
1152,10 il,4
1153,1 zn,4
1154,1 h2a,4
1155,1 h1,4
1156,1 decrease dna methylation,4
1157,1 af,4
1158,1 2 erk,4
1159,1 2 3 hdac,4
1160,1 15 lox,4
1161,znhit1,3
1162,ytaf61,3
1163,ynap1,3
1164,ymp,3
1165,tyrp1,3
1166,tsh,3
1167,ts,3
1168,trypsin,3
1169,tre,3
1170,transposase,3
1171,trail,3
1172,tpa1,3
1173,tp1,3
1174,topoisomerase,3
1175,top2beta,3
1176,tip49um,3
1177,thrombin,3
1178,tfiis,3
1179,tctbp,3
1180,tbx5,3
1181,tas3,3
1182,tammar,3
1183,tafii250,3
1184,taf1,3
1185,stagum tftc,3
1186,srf,3
1187,src,3
1188,spt7,3
1189,spt3p,3
1190,sox9,3
1191,snrpn,3
1192,snf2l,3
1193,smyd5,3
1194,smc3,3
1195,smc1,3
1196,smad2,3
1197,slbp,3
1198,sirts,3
1199,sirt,3
1200,sir2 yeast,3
1201,sir1p,3
1202,sin3b,3
1203,siini1,3
1204,shlucus,3
1205,shlacz,3
1206,shl2,3
1207,shelterin,3
1208,sglt1,3
1209,sglt,3
1210,sf2,3
1211,setd1b,3
1212,set9,3
1213,sem,3
1214,scm3,3
1215,schda1p,3
1216,sc,3
1217,sas3 ybf2,3
1218,sap30,3
1219,sa,3
1220,s1,3
1221,s swi,3
1222,rpp20,3
1223,rits,3
1224,rfxank,3
1225,rfc1,3
1226,rela,3
1227,recombinase,3
1228,rdr2,3
1229,rap1p,3
1230,rad6,3
1231,rad52,3
1232,rad50,3
1233,rab27a,3
1234,pst2,3
1235,protein xnap1l,3
1236,protein src,3
1237,protein retinoblastoma,3
1238,protein rag,3
1239,promoter sox9,3
1240,promoter rnapii,3
1241,prmt1,3
1242,prb protein,3
1243,pr protein set7,3
1244,pou5f1,3
1245,polycomb protein,3
1246,pm,3
1247,plasminogen,3
1248,pkl,3
1249,pkc,3
1250,pif,3
1251,phd2,3
1252,ph,3
1253,pgl3,3
1254,pftbp,3
1255,pfactin,3
1256,pepsin,3
1257,pbrm1,3
1258,pbaf subunit,3
1259,parp2,3
1260,panh3,3
1261,p48 subunit,3
1262,p400 tip60,3
1263,p27,3
1264,p21waf1 promoter,3
1265,p160 src,3
1266,p107,3
1267,p rnase,3
1268,orf1p,3
1269,onsen,3
1270,nuce,3
1271,nuc1p,3
1272,nrsf rest,3
1273,nrs,3
1274,nrps,3
1275,nrpd1b,3
1276,nrp1,3
1277,nrp,3
1278,nox4,3
1279,notch1,3
1280,nestin,3
1281,nep,3
1282,nelf,3
1283,neil1,3
1284,ncl,3
1285,nc,3
1286,nap1l2,3
1287,n1,3
1288,myhc,3
1289,mvp,3
1290,mu opioid receptor specific transcript,3
1291,mtiswus,3
1292,mthfr,3
1293,msl3,3
1294,msk,3
1295,msin3um,3
1296,msh2,3
1297,mrp rnase,3
1298,mrna serca3,3
1299,mrna nrsf,3
1300,mrna mta1,3
1301,morf4,3
1302,mock,3
1303,mir778,3
1304,mica,3
1305,mgmt promoter,3
1306,mgmt mrna,3
1307,mepc2,3
1308,meet,3
1309,mea,3
1310,me3,3
1311,mdm2 protein,3
1312,mcm2,3
1313,mcm,3
1314,mbd1,3
1315,mbd,3
1316,max myc,3
1317,marpnbeta,3
1318,marpnalpha,3
1319,mapk ras,3
1320,man1,3
1321,mad max,3
1322,ma,3
1323,m18bp1,3
1324,luc,3
1325,link,3
1326,like protein sir2,3
1327,ligase ubiquitin,3
1328,ligand nkg2d,3
1329,lec2,3
1330,lec1,3
1331,lap2beta,3
1332,lane,3
1333,l pgd,3
1334,knus,3
1335,kismet,3
1336,kinase receptor tyrosine,3
1337,keap1,3
1338,kdm5b,3
1339,kcr site,3
1340,kat6b,3
1341,junb,3
1342,is,3
1343,invertebrate lamin,3
1344,ing4 protein,3
1345,iius pol,3
1346,iialpha topo,3
1347,ii topoisomerase,3
1348,ii topo,3
1349,igg normal rabbit,3
1350,ia tif,3
1351,i polymerase rna,3
1352,i i,3
1353,hup46,3
1354,human p rnase,3
1355,hsp transperon,3
1356,hsgcn5,3
1357,hsa,3
1358,hrp3,3
1359,hp1 protein,3
1360,hox,3
1361,hormone receptor steroid,3
1362,homolog mrg15,3
1363,hmgn1,3
1364,hmga1,3
1365,hmfb,3
1366,hkt1,3
1367,hkmt,3
1368,hjurp scm3,3
1369,histone subunit,3
1370,histone rna,3
1371,histone oamers,3
1372,histone oamer,3
1373,histone nucleosomal,3
1374,hir,3
1375,hinf1,3
1376,hindiii,3
1377,hif2alpha,3
1378,hif1,3
1379,hemogen,3
1380,hedgehog,3
1381,heat protein shock,3
1382,hdac7,3
1383,hdac1 hdac2,3
1384,hd2,3
1385,harp6,3
1386,hacf wcrf,3
1387,ha harp5,3
1388,h5 histone linker,3
1389,h4k5ac,3
1390,h4k12ac histone,3
1391,h4ac,3
1392,h3tl,3
1393,h3k56ac,3
1394,h3k4 histone,3
1395,h3k27me1,3
1396,h3k18,3
1397,h3k14ac,3
1398,h3k,3
1399,h3h3,3
1400,h39,3
1401,h3 histone p,3
1402,h3 histone human,3
1403,h3 h3,3
1404,h2bs36,3
1405,h2bk120,3
1406,h2a v,3
1407,h2a histone x,3
1408,h2a histone variant,3
1409,h2,3
1410,h1um,3
1411,gst rhd,3
1412,gst hsf1,3
1413,growth inhibiter,3
1414,growth hormone human locus,3
1415,group high mobility,3
1416,gh5 mutant,3
1417,gfp hmgb1,3
1418,gfp h1foo,3
1419,gene rb,3
1420,gene pox,3
1421,gene gfp,3
1422,gcn5p yeast,3
1423,gcn5p,3
1424,garp6,3
1425,gammah2um,3
1426,gaf,3
1427,gad67,3
1428,fusion lexa protein,3
1429,fosb promoter,3
1430,fosb,3
1431,flsc,3
1432,flag hdac1,3
1433,flag h2az hsp,3
1434,flag grwd1 wt,3
1435,fis2,3
1436,family src,3
1437,family parp,3
1438,family mrg,3
1439,family ing protein,3
1440,fa,3
1441,exus ix,3
1442,eset setdb1,3
1443,esa1,3
1444,erythropoietin,3
1445,erod,3
1446,ercc6,3
1447,epsilonk5,3
1448,epidermal factor growth,3
1449,enosc,3
1450,elovl3,3
1451,egfp harp5,3
1452,e3 ligase,3
1453,e1,3
1454,dssrp1,3
1455,dsif,3
1456,drybp rybp,3
1457,dot1,3
1458,domain tacc,3
1459,domain ipk,3
1460,dnmtase,3
1461,dnmt3l,3
1462,dnmt1 uhrf1,3
1463,dna polymerase,3
1464,dna fragment p,3
